id,citing,citing_venue,cited,cited_venue,creation,is_citing_iris,is_cited_iris,flow,citing_issns,cited_issns,citing_scimago_area,citing_scimago_category,citing_doaj_lcc,citing_doaj_subject,cited_scimago_area,cited_scimago_category,cited_doaj_lcc,cited_doaj_subject
oci:06701667536-06801433342,omid:br/06701667536,Zeitschrift Für Physik C Particles And Fields [omid:br/0612035595 issn:0170-9739 issn:1431-5858 issn:1434-6044 issn:1434-6052],omid:br/06801433342,Physical Review D [omid:br/066033919 issn:1550-2368 issn:1550-7998 openalex:S4210210554],2014-11,True,False,Outgoing,"['01709739', '14315858', '14346044', '14346052']","['15502368', '15507998']",Engineering; Physics and Astronomy,Engineering (miscellaneous) (Q1); Physics and Astronomy (miscellaneous) (Q1),QB460-466|QC770-798,Science: Astronomy: Astrophysics | Science: Physics: Nuclear and particle physics. Atomic energy. Radioactivity,,,,
oci:06101414511-061801843186,omid:br/06101414511,Reviews Of Modern Physics [omid:br/0624030091 issn:0034-6861 issn:1539-0756 openalex:S73260565],omid:br/061801843186,Nature Photonics [omid:br/0621041052 issn:1749-4885 issn:1749-4893 openalex:S120392215],2017-10-30,False,True,Incoming,"['00346861', '15390756']","['17494885', '17494893']",Physics and Astronomy,Physics and Astronomy (miscellaneous) (Q1),,,Materials Science; Physics and Astronomy,"Atomic and Molecular Physics, and Optics (Q1); Electronic, Optical and Magnetic Materials (Q1)",,
oci:061803127910-06303725688,omid:br/061803127910,Optics Express [omid:br/067065710 issn:1094-4087 openalex:S178776955],omid:br/06303725688,Nature Physics [omid:br/0622061045 issn:1745-2473 issn:1745-2481 openalex:S156274416],2013-09-16,False,True,Incoming,['10944087'],"['17452473', '17452481']",Physics and Astronomy,"Atomic and Molecular Physics, and Optics (Q1)",TA1501-1820|QC350-467,Technology: Engineering (General). Civil engineering (General): Applied optics. Photonics | Science: Physics: Optics. Light,Physics and Astronomy,Physics and Astronomy (miscellaneous) (Q1),,
oci:062101806463-062201716488,omid:br/062101806463,Monthly Notices Of The Royal Astronomical Society [omid:br/067041753 doi:10.1111/(issn)1365-2966 issn:0035-8711 issn:1365-2966 openalex:S195663288],omid:br/062201716488,Astronomy & Astrophysics [omid:br/064040455 issn:0004-6361 issn:1432-0746 openalex:S205231332],2020-01,False,True,Incoming,"['13652966', '00358711', '13652966']","['00046361', '14320746']",Earth and Planetary Sciences; Physics and Astronomy,Astronomy and Astrophysics (Q1); Space and Planetary Science (Q1),QB1-991,Science: Astronomy,Earth and Planetary Sciences; Physics and Astronomy,Astronomy and Astrophysics (Q1); Space and Planetary Science (Q1),QB1-991,Science: Astronomy
oci:061503521246-061102455155,omid:br/061503521246,Physical Review D [omid:br/067039535 issn:0556-2821 issn:1089-4918 openalex:S4210190737],omid:br/061102455155,Nuclear Physics B [omid:br/069057982 issn:0550-3213 issn:1873-1562 openalex:S4210194812],2001-04-19,True,False,Outgoing,"['05562821', '10894918']","['05503213', '18731562']",,,,,Physics and Astronomy,Nuclear and High Energy Physics (Q2),QC770-798,Science: Physics: Nuclear and particle physics. Atomic energy. Radioactivity
oci:06220563951-06501844164,omid:br/06220563951,Physical Review D [omid:br/062509685 issn:2470-0010 issn:2470-0029 openalex:S4210238307],omid:br/06501844164,Journal Of High Energy Physics [omid:br/062038872 issn:1029-8479 issn:1126-6708 openalex:S187585107],2017-11-17,False,True,Incoming,"['24700010', '24700029']","['10298479', '11266708']",Physics and Astronomy,Nuclear and High Energy Physics (Q1); Physics and Astronomy (miscellaneous) (Q1),,,Physics and Astronomy,Nuclear and High Energy Physics (Q2),QC770-798,Science: Physics: Nuclear and particle physics. Atomic energy. Radioactivity
oci:061104382007-061702622356,omid:br/061104382007,Evolutionary Intelligence [omid:br/06703487910 issn:1864-5909 issn:1864-5917 openalex:S182392644],omid:br/061702622356,Scientific Reports [omid:br/0616055349 issn:2045-2322 openalex:S196734849],2024-07-09,False,True,Incoming,"['18645909', '18645917']",['20452322'],Computer Science; Mathematics; Neuroscience,Mathematics (miscellaneous) (Q1); Artificial Intelligence (Q2); Cognitive Neuroscience (Q2); Computer Vision and Pattern Recognition (Q2),,,Multidisciplinary,Multidisciplinary (Q1),R|Q,Medicine | Science
oci:061904207362-062302057932,omid:br/061904207362,Quantum Studies: Mathematics And Foundations [omid:br/06180633266 issn:2196-5609 issn:2196-5617 openalex:S4210173209],omid:br/062302057932,Physical Review Letters [omid:br/063044243 issn:0031-9007 issn:1079-7114 openalex:S24807848],2024-02-08,False,True,Incoming,"['21965609', '21965617']","['00319007', '10797114']",Mathematics; Physics and Astronomy,"Atomic and Molecular Physics, and Optics (Q4); Mathematical Physics (Q4)",,,Physics and Astronomy,Physics and Astronomy (miscellaneous) (Q1),,
oci:06504378205-061802029191,omid:br/06504378205,Physical Review D [omid:br/062509685 issn:2470-0010 issn:2470-0029 openalex:S4210238307],omid:br/061802029191,Physical Review X [omid:br/0619047744 issn:2160-3308 openalex:S137042341],2023-03-27,False,True,Incoming,"['24700010', '24700029']",['21603308'],Physics and Astronomy,Nuclear and High Energy Physics (Q1); Physics and Astronomy (miscellaneous) (Q1),,,Physics and Astronomy,Physics and Astronomy (miscellaneous) (Q1),QC1-999,Science: Physics
oci:061701819329-06702172014,omid:br/061701819329,Monthly Notices Of The Royal Astronomical Society [omid:br/067041753 doi:10.1111/(issn)1365-2966 issn:0035-8711 issn:1365-2966 openalex:S195663288],omid:br/06702172014,Monthly Notices Of The Royal Astronomical Society [omid:br/067041753 doi:10.1111/(issn)1365-2966 issn:0035-8711 issn:1365-2966 openalex:S195663288],2020-11-13,False,True,Incoming,"['13652966', '00358711', '13652966']","['13652966', '00358711', '13652966']",Earth and Planetary Sciences; Physics and Astronomy,Astronomy and Astrophysics (Q1); Space and Planetary Science (Q1),QB1-991,Science: Astronomy,Earth and Planetary Sciences; Physics and Astronomy,Astronomy and Astrophysics (Q1); Space and Planetary Science (Q1),QB1-991,Science: Astronomy
