id,citing,citing_venue,cited,cited_venue,creation,is_citing_iris,is_cited_iris,flow,citing_issns,cited_issns,citing_scimago_area,citing_scimago_category,citing_doaj_lcc,citing_doaj_subject,cited_scimago_area,cited_scimago_category,cited_doaj_lcc,cited_doaj_subject
oci:06202273568-062402051240,omid:br/06202273568,Physical Review Research [omid:br/068046277 issn:2643-1564 openalex:S4210240247],omid:br/062402051240,Physical Review Letters [omid:br/063044243 issn:0031-9007 issn:1079-7114 openalex:S24807848],2020-10-02,False,True,Incoming,['26431564'],"['00319007', '10797114']",Physics and Astronomy,Physics and Astronomy (miscellaneous) (Q1),QC1-999,Science: Physics,Physics and Astronomy,Physics and Astronomy (miscellaneous) (Q1),,
oci:062402051676-06203916571,omid:br/062402051676,Physical Review Letters [omid:br/063044243 issn:0031-9007 issn:1079-7114 openalex:S24807848],omid:br/06203916571,Physical Review Letters [omid:br/063044243 issn:0031-9007 issn:1079-7114 openalex:S24807848],2011-11-30,True,False,Outgoing,"['00319007', '10797114']","['00319007', '10797114']",Physics and Astronomy,Physics and Astronomy (miscellaneous) (Q1),,,Physics and Astronomy,Physics and Astronomy (miscellaneous) (Q1),,
oci:062501420933-06302831560,omid:br/062501420933,Physical Review D [omid:br/066033919 issn:1550-2368 issn:1550-7998 openalex:S4210210554],omid:br/06302831560,Physics Letters B [omid:br/0626059839 issn:0370-2693 openalex:S173952182],2014-04-30,False,True,Incoming,"['15502368', '15507998']",['03702693'],,,,,Physics and Astronomy,Nuclear and High Energy Physics (Q1),QC1-999,Science: Physics
oci:061502257723-06160492060,omid:br/061502257723,Advances In Mathematics [omid:br/061051114 issn:0001-8708 openalex:S122441808],omid:br/06160492060,Communications In Mathematical Physics [omid:br/0623011170 issn:0010-3616 issn:1432-0916 openalex:S100601982],2010-03,False,True,Incoming,['00018708'],"['00103616', '14320916']",Mathematics,Mathematics (miscellaneous) (Q1),,,Mathematics; Physics and Astronomy,Mathematical Physics (Q1); Statistical and Nonlinear Physics (Q1),,
oci:06402835371-06702815009,omid:br/06402835371,Physics Letters B [omid:br/0626059839 issn:0370-2693 openalex:S173952182],omid:br/06702815009,Physics Letters B [omid:br/0626059839 issn:0370-2693 openalex:S173952182],1995-10,True,False,Outgoing,['03702693'],['03702693'],Physics and Astronomy,Nuclear and High Energy Physics (Q1),QC1-999,Science: Physics,Physics and Astronomy,Nuclear and High Energy Physics (Q1),QC1-999,Science: Physics
oci:0640569798-061202054625,omid:br/0640569798,Physical Review D [omid:br/062509685 issn:2470-0010 issn:2470-0029 openalex:S4210238307],omid:br/061202054625,Physical Review Letters [omid:br/063044243 issn:0031-9007 issn:1079-7114 openalex:S24807848],2022-03-09,True,False,Outgoing,"['24700010', '24700029']","['00319007', '10797114']",Physics and Astronomy,Nuclear and High Energy Physics (Q1); Physics and Astronomy (miscellaneous) (Q1),,,Physics and Astronomy,Physics and Astronomy (miscellaneous) (Q1),,
oci:061701429001-061802058249,omid:br/061701429001,Physical Review D [omid:br/066033919 issn:1550-2368 issn:1550-7998 openalex:S4210210554],omid:br/061802058249,Physical Review Letters [omid:br/063044243 issn:0031-9007 issn:1079-7114 openalex:S24807848],2009-03-05,True,True,Internal,"['15502368', '15507998']","['00319007', '10797114']",,,,,Physics and Astronomy,Physics and Astronomy (miscellaneous) (Q1),,
oci:06110996542-06190297455,omid:br/06110996542,Analytical Chemistry [omid:br/065021405 issn:0003-2700 issn:1520-6882 openalex:S191963794],omid:br/06190297455,Frontiers In Plant Science [omid:br/061205310 issn:1664-462X openalex:S2493613807],2020-04-21,True,False,Outgoing,"['00032700', '15206882']",['1664462X'],Chemistry,Analytical Chemistry (Q1),,,Agricultural and Biological Sciences,Plant Science (Q1),SB1-1110,Agriculture: Plant culture
oci:0623090101-061901638046,omid:br/0623090101,Journal Of Biological Chemistry [omid:br/06903738 doi:10.1074/jbc issn:0021-9258 issn:1083-351X openalex:S140251998],omid:br/061901638046,EMBO Reports [omid:br/062036122 issn:1469-221X issn:1469-3178 openalex:S57252141],2020-08,False,True,Incoming,"['00219258', '1083351X']","['1469221X', '14693178']","Biochemistry, Genetics and Molecular Biology",Biochemistry (Q1); Cell Biology (Q1); Molecular Biology (Q1),QD415-436,Science: Chemistry: Organic chemistry: Biochemistry,"Biochemistry, Genetics and Molecular Biology",Biochemistry (Q1); Genetics (Q1); Molecular Biology (Q1),QH301-705.5,Science: Biology (General)
oci:06802225634-061301901188,omid:br/06802225634,The Journal Of Physical Chemistry A [omid:br/0621041077 issn:1089-5639 issn:1520-5215 openalex:S146709414],omid:br/061301901188,Icarus [omid:br/0611046261 issn:0019-1035 openalex:S172501725],2009-09-17,True,False,Outgoing,"['10895639', '15205215']",['00191035'],Chemistry; Medicine,Medicine (miscellaneous) (Q2); Physical and Theoretical Chemistry (Q2),,,Earth and Planetary Sciences; Physics and Astronomy,Astronomy and Astrophysics (Q1); Space and Planetary Science (Q2),,
oci:062201328796-06170927623,omid:br/062201328796,Aging Cell [omid:br/062030324 issn:1474-9718 issn:1474-9726 openalex:S174672550],omid:br/06170927623,The American Journal Of Human Genetics [omid:br/061021246 issn:0002-9297 issn:1537-6605 openalex:S134425043],2014-07-25,True,False,Outgoing,"['14749718', '14749726']","['00029297', '15376605']","Biochemistry, Genetics and Molecular Biology",Aging (Q1); Cell Biology (Q1),RC952-954.6,Medicine: Internal medicine: Special situations and conditions: Geriatrics,"Biochemistry, Genetics and Molecular Biology; Medicine",Genetics (Q1); Genetics (clinical) (Q1),,
oci:06804763716-062101911721,omid:br/06804763716,Journal Of Solid State Electrochemistry [omid:br/0625060895 issn:1432-8488 issn:1433-0768 openalex:S25422132],omid:br/062101911721,Electroanalysis [omid:br/0613040798 doi:10.1002/(issn)1521-4109 issn:1040-0397 issn:1521-4109 openalex:S79832926],2024-07-22,True,False,Outgoing,"['14328488', '14330768']","['15214109', '10400397', '15214109']",Chemistry; Energy; Engineering; Materials Science; Physics and Astronomy,Condensed Matter Physics (Q2); Electrical and Electronic Engineering (Q2); Energy Engineering and Power Technology (Q2); Materials Chemistry (Q2); Materials Science (miscellaneous) (Q2); Electrochemistry (Q3),,,Chemistry,Analytical Chemistry (Q3); Electrochemistry (Q3),,
oci:062504217177-06101849189,omid:br/062504217177,Physical Review Letters [omid:br/063044243 issn:0031-9007 issn:1079-7114 openalex:S24807848],omid:br/06101849189,Journal Of High Energy Physics [omid:br/062038872 issn:1029-8479 issn:1126-6708 openalex:S187585107],2024-01-08,True,True,Internal,"['00319007', '10797114']","['10298479', '11266708']",Physics and Astronomy,Physics and Astronomy (miscellaneous) (Q1),,,Physics and Astronomy,Nuclear and High Energy Physics (Q2),QC770-798,Science: Physics: Nuclear and particle physics. Atomic energy. Radioactivity
oci:061502065670-062301919133,omid:br/061502065670,Physical Review Letters [omid:br/063044243 issn:0031-9007 issn:1079-7114 openalex:S24807848],omid:br/062301919133,International Journal Of Modern Physics A [omid:br/0614042662 issn:0217-751X issn:1793-656X],2014-03-20,True,False,Outgoing,"['00319007', '10797114']","['0217751X', '1793656X']",Physics and Astronomy,Physics and Astronomy (miscellaneous) (Q1),,,Physics and Astronomy,"Astronomy and Astrophysics (Q3); Atomic and Molecular Physics, and Optics (Q3); Nuclear and High Energy Physics (Q3)",,
oci:06150643878-061401460132,omid:br/06150643878,Bell System Technical Journal [omid:br/0623060563 doi:10.1002/(issn)1538-7305c issn:0005-8580 openalex:S127472826],omid:br/061401460132,Inorganic Chemistry Frontiers [omid:br/0619033625 doi:10.1039/2052-1553/2014 issn:2052-1553 openalex:S2764402489],2014-08-27,False,True,Incoming,"['15387305', '00058580']","['20521553', '20521553']",,,,,Chemistry,Inorganic Chemistry (Q1),,
oci:06302339588-06701667516,omid:br/06302339588,The European Physical Journal Special Topics [omid:br/0625040751 doi:10.1007/11734.1951-6401 issn:1951-6355 issn:1951-6401 openalex:S138062970],omid:br/06701667516,Zeitschrift Für Physik C Particles And Fields [omid:br/0612035595 issn:0170-9739 issn:1431-5858 issn:1434-6044 issn:1434-6052],2020-12,False,True,Incoming,"['19516401', '19516355', '19516401']","['01709739', '14315858', '14346044', '14346052']",Chemistry; Materials Science; Physics and Astronomy,Physics and Astronomy (miscellaneous) (Q2); Materials Science (miscellaneous) (Q3); Physical and Theoretical Chemistry (Q3),,,Engineering; Physics and Astronomy,Engineering (miscellaneous) (Q1); Physics and Astronomy (miscellaneous) (Q1),QB460-466|QC770-798,Science: Astronomy: Astrophysics | Science: Physics: Nuclear and particle physics. Atomic energy. Radioactivity
oci:06301788387-061801843186,omid:br/06301788387,Physical Review A [omid:br/0619043744 issn:2469-9926 issn:2469-9934 openalex:S4210182288],omid:br/061801843186,Nature Photonics [omid:br/0621041052 issn:1749-4885 issn:1749-4893 openalex:S120392215],2016-01-07,False,True,Incoming,"['24699926', '24699934']","['17494885', '17494893']",Physics and Astronomy,"Atomic and Molecular Physics, and Optics (Q1)",,,Materials Science; Physics and Astronomy,"Atomic and Molecular Physics, and Optics (Q1); Electronic, Optical and Magnetic Materials (Q1)",,
oci:06501859133-061701428829,omid:br/06501859133,Journal Of Cosmology And Astroparticle Physics [omid:br/062039004 issn:1475-7508 issn:1475-7516 openalex:S120662888],omid:br/061701428829,Physical Review D [omid:br/066033919 issn:1550-2368 issn:1550-7998 openalex:S4210210554],2018-03-12,False,True,Incoming,"['14757508', '14757516']","['15502368', '15507998']",Physics and Astronomy,Astronomy and Astrophysics (Q2),,,,,,
oci:06601832279-06901690044,omid:br/06601832279,Journal Of High Energy Physics [omid:br/062038872 issn:1029-8479 issn:1126-6708 openalex:S187585107],omid:br/06901690044,Zeitschrift Für Physik C Particles And Fields [omid:br/0612035595 issn:0170-9739 issn:1431-5858 issn:1434-6044 issn:1434-6052],2022-06,True,False,Outgoing,"['10298479', '11266708']","['01709739', '14315858', '14346044', '14346052']",Physics and Astronomy,Nuclear and High Energy Physics (Q2),QC770-798,Science: Physics: Nuclear and particle physics. Atomic energy. Radioactivity,Engineering; Physics and Astronomy,Engineering (miscellaneous) (Q1); Physics and Astronomy (miscellaneous) (Q1),QB460-466|QC770-798,Science: Astronomy: Astrophysics | Science: Physics: Nuclear and particle physics. Atomic energy. Radioactivity
oci:06501841342-06201835922,omid:br/06501841342,Journal Of High Energy Physics [omid:br/062038872 issn:1029-8479 issn:1126-6708 openalex:S187585107],omid:br/06201835922,Journal Of High Energy Physics [omid:br/062038872 issn:1029-8479 issn:1126-6708 openalex:S187585107],2022-07,True,False,Outgoing,"['10298479', '11266708']","['10298479', '11266708']",Physics and Astronomy,Nuclear and High Energy Physics (Q2),QC770-798,Science: Physics: Nuclear and particle physics. Atomic energy. Radioactivity,Physics and Astronomy,Nuclear and High Energy Physics (Q2),QC770-798,Science: Physics: Nuclear and particle physics. Atomic energy. Radioactivity
oci:061201721439-062501809437,omid:br/061201721439,The Astrophysical Journal [omid:br/064040542 issn:0004-637X issn:1538-4357 openalex:S1980519],omid:br/062501809437,Monthly Notices Of The Royal Astronomical Society [omid:br/067041753 doi:10.1111/(issn)1365-2966 issn:0035-8711 issn:1365-2966 openalex:S195663288],2022-02-01,False,True,Incoming,"['0004637X', '15384357']","['13652966', '00358711', '13652966']",Earth and Planetary Sciences; Physics and Astronomy,Astronomy and Astrophysics (Q1); Space and Planetary Science (Q1),QB460-466,Science: Astronomy: Astrophysics,Earth and Planetary Sciences; Physics and Astronomy,Astronomy and Astrophysics (Q1); Space and Planetary Science (Q1),QB1-991,Science: Astronomy
oci:06601849164-061701428829,omid:br/06601849164,Journal Of Cosmology And Astroparticle Physics [omid:br/062039004 issn:1475-7508 issn:1475-7516 openalex:S120662888],omid:br/061701428829,Physical Review D [omid:br/066033919 issn:1550-2368 issn:1550-7998 openalex:S4210210554],2015-10-01,False,True,Incoming,"['14757508', '14757516']","['15502368', '15507998']",Physics and Astronomy,Astronomy and Astrophysics (Q2),,,,,,
oci:06702811751-061503501166,omid:br/06702811751,Physics Letters B [omid:br/0626059839 issn:0370-2693 openalex:S173952182],omid:br/061503501166,Physical Review Letters [omid:br/063044243 issn:0031-9007 issn:1079-7114 openalex:S24807848],2017-12,True,False,Outgoing,['03702693'],"['00319007', '10797114']",Physics and Astronomy,Nuclear and High Energy Physics (Q1),QC1-999,Science: Physics,Physics and Astronomy,Physics and Astronomy (miscellaneous) (Q1),,
oci:061402395853-062601694160,omid:br/061402395853,Physics Letters B [omid:br/0626059839 issn:0370-2693 openalex:S173952182],omid:br/062601694160,Zeitschrift Für Physik C Particles And Fields [omid:br/0612035595 issn:0170-9739 issn:1431-5858 issn:1434-6044 issn:1434-6052],1998-03,True,False,Outgoing,['03702693'],"['01709739', '14315858', '14346044', '14346052']",Physics and Astronomy,Nuclear and High Energy Physics (Q1),QC1-999,Science: Physics,Engineering; Physics and Astronomy,Engineering (miscellaneous) (Q1); Physics and Astronomy (miscellaneous) (Q1),QB460-466|QC770-798,Science: Astronomy: Astrophysics | Science: Physics: Nuclear and particle physics. Atomic energy. Radioactivity
oci:06104797071-06202326791,omid:br/06104797071,Physical Review D [omid:br/062509685 issn:2470-0010 issn:2470-0029 openalex:S4210238307],omid:br/06202326791,SoftwareX [omid:br/06202327300 issn:2352-7110 openalex:S2506067282],2024-03-14,False,True,Incoming,"['24700010', '24700029']",['23527110'],Physics and Astronomy,Nuclear and High Energy Physics (Q1); Physics and Astronomy (miscellaneous) (Q1),,,Computer Science,Computer Science Applications (Q2); Software (Q2),QA76.75-76.765,Science: Mathematics: Instruments and machines: Electronic computers. Computer science: Computer software
oci:06480171742-0690846527,omid:br/06480171742,Journal Of Neurochemistry [omid:br/0614029191 doi:10.1111/(issn)1471-4159 issn:0022-3042 issn:1471-4159 openalex:S135837084],omid:br/0690846527,Molecular Psychiatry [omid:br/0626025711 issn:1359-4184 issn:1476-5578 openalex:S71149355],2023-07-26,False,True,Incoming,"['14714159', '00223042', '14714159']","['13594184', '14765578']","Biochemistry, Genetics and Molecular Biology; Neuroscience",Biochemistry (Q1); Cellular and Molecular Neuroscience (Q2),,,"Biochemistry, Genetics and Molecular Biology; Medicine; Neuroscience",Cellular and Molecular Neuroscience (Q1); Molecular Biology (Q1); Psychiatry and Mental Health (Q1),,
oci:061601755181-06190927849,omid:br/061601755181,Human Evolution [omid:br/061601755805 issn:0393-9375 issn:1824-310X openalex:S76215787],omid:br/06190927849,The American Journal Of Human Genetics [omid:br/061021246 issn:0002-9297 issn:1537-6605 openalex:S134425043],2006-08,True,False,Outgoing,"['03939375', '1824310X']","['00029297', '15376605']",Social Sciences,Anthropology (Q4),,,"Biochemistry, Genetics and Molecular Biology; Medicine",Genetics (Q1); Genetics (clinical) (Q1),,
oci:061604239807-061601731965,omid:br/061604239807,Astronomy & Astrophysics [omid:br/064040455 issn:0004-6361 issn:1432-0746 openalex:S205231332],omid:br/061601731965,Astronomy & Astrophysics [omid:br/064040455 issn:0004-6361 issn:1432-0746 openalex:S205231332],2024-11,True,False,Outgoing,"['00046361', '14320746']","['00046361', '14320746']",Earth and Planetary Sciences; Physics and Astronomy,Astronomy and Astrophysics (Q1); Space and Planetary Science (Q1),QB1-991,Science: Astronomy,Earth and Planetary Sciences; Physics and Astronomy,Astronomy and Astrophysics (Q1); Space and Planetary Science (Q1),QB1-991,Science: Astronomy
oci:06702847780-061301724343,omid:br/06702847780,Monthly Notices Of The Royal Astronomical Society [omid:br/067041753 doi:10.1111/(issn)1365-2966 issn:0035-8711 issn:1365-2966 openalex:S195663288],omid:br/061301724343,The Astrophysical Journal [omid:br/064040542 issn:0004-637X issn:1538-4357 openalex:S1980519],2014-07-25,True,False,Outgoing,"['13652966', '00358711', '13652966']","['0004637X', '15384357']",Earth and Planetary Sciences; Physics and Astronomy,Astronomy and Astrophysics (Q1); Space and Planetary Science (Q1),QB1-991,Science: Astronomy,Earth and Planetary Sciences; Physics and Astronomy,Astronomy and Astrophysics (Q1); Space and Planetary Science (Q1),QB460-466,Science: Astronomy: Astrophysics
oci:061701312065-06230333058,omid:br/061701312065,Nature Communications [omid:br/0623032092 doi:10.1038/41467.2041-1723 issn:2041-1723 openalex:S64187185],omid:br/06230333058,Classical And Quantum Gravity [omid:br/061606259 issn:0264-9381 issn:1361-6382 openalex:S171172751],2017-04,False,True,Incoming,"['20411723', '20411723']","['02649381', '13616382']","Biochemistry, Genetics and Molecular Biology; Chemistry; Multidisciplinary; Physics and Astronomy","Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1); Multidisciplinary (Q1); Physics and Astronomy (miscellaneous) (Q1)",Q,Science,Physics and Astronomy,Physics and Astronomy (miscellaneous) (Q1),,
oci:061104240707-06101448838,omid:br/061104240707,Physics Of Atomic Nuclei [omid:br/0626015446 issn:1063-7788 issn:1562-692X openalex:S20255291],omid:br/06101448838,Physical Review D [omid:br/066033919 issn:1550-2368 issn:1550-7998 openalex:S4210210554],2023-12,False,True,Incoming,"['10637788', '1562692X']","['15502368', '15507998']",Physics and Astronomy,"Nuclear and High Energy Physics (Q3); Atomic and Molecular Physics, and Optics (Q4)",,,,,,
oci:06904005219-06160717241,omid:br/06904005219,2D Materials [omid:br/0623059305 doi:10.1088/issn.2053-1583 issn:2053-1583 openalex:S4210229423],omid:br/06160717241,Nanoscale [omid:br/0626023148 doi:10.1039/2040-3372/2009 issn:2040-3364 issn:2040-3372 openalex:S23181512],2023-08-30,False,True,Incoming,"['20531583', '20531583']","['20403372', '20403364', '20403372']",Chemistry; Engineering; Materials Science; Physics and Astronomy,Chemistry (miscellaneous) (Q1); Condensed Matter Physics (Q1); Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1),,,Materials Science,Materials Science (miscellaneous) (Q1); Nanoscience and Nanotechnology (Q2),,
oci:06260692342-06150500747,omid:br/06260692342,Frequenz [omid:br/0611013821 doi:10.1515/freq issn:0016-1136 issn:2191-6349 openalex:S171819795],omid:br/06150500747,Planetary And Space Science [omid:br/062010512 issn:0032-0633 openalex:S105500771],2008-06-01,True,False,Outgoing,"['00161136', '21916349']",['00320633'],Engineering,Electrical and Electronic Engineering (Q3),,,Earth and Planetary Sciences; Physics and Astronomy,Astronomy and Astrophysics (Q2); Space and Planetary Science (Q2),,
oci:06804784460-06170719525,omid:br/06804784460,Nature Chemistry [omid:br/061047494 issn:1755-4330 issn:1755-4349 openalex:S202193212],omid:br/06170719525,Tetrahedron [omid:br/0626023199 issn:0040-4020 openalex:S205754296],2023-12-11,False,True,Incoming,"['17554330', '17554349']",['00404020'],Chemical Engineering; Chemistry,Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1),,,"Biochemistry, Genetics and Molecular Biology; Chemistry; Pharmacology, Toxicology and Pharmaceutics",Biochemistry (Q3); Drug Discovery (Q3); Organic Chemistry (Q3),,
oci:06340513472-0610575704,omid:br/06340513472,Physical Review D [omid:br/062509685 issn:2470-0010 issn:2470-0029 openalex:S4210238307],omid:br/0610575704,Physical Review D [omid:br/062509685 issn:2470-0010 issn:2470-0029 openalex:S4210238307],2024-10-23,False,True,Incoming,"['24700010', '24700029']","['24700010', '24700029']",Physics and Astronomy,Nuclear and High Energy Physics (Q1); Physics and Astronomy (miscellaneous) (Q1),,,Physics and Astronomy,Nuclear and High Energy Physics (Q1); Physics and Astronomy (miscellaneous) (Q1),,
oci:06902036141-06220100099,omid:br/06902036141,Advanced Functional Materials [omid:br/0621059878 doi:10.1002/(issn)1616-3028 issn:1616-301X issn:1616-3028 openalex:S135204980],omid:br/06220100099,Angewandte Chemie International Edition [omid:br/061601945 doi:10.1002/(issn)1521-3773 issn:0570-0833 issn:1433-7851 issn:1521-3773 openalex:S67393510],2017-07-24,False,True,Incoming,"['16163028', '1616301X', '16163028']","['15213773', '05700833', '14337851', '15213773']",Chemistry; Materials Science; Physics and Astronomy,"Biomaterials (Q1); Chemistry (miscellaneous) (Q1); Condensed Matter Physics (Q1); Electrochemistry (Q1); Electronic, Optical and Magnetic Materials (Q1); Materials Science (miscellaneous) (Q1); Nanoscience and Nanotechnology (Q1)",,,Chemical Engineering; Chemistry,Catalysis (Q1); Chemistry (miscellaneous) (Q1),,
oci:061401294916-061702622356,omid:br/061401294916,Nature Communications [omid:br/0623032092 doi:10.1038/41467.2041-1723 issn:2041-1723 openalex:S64187185],omid:br/061702622356,Scientific Reports [omid:br/0616055349 issn:2045-2322 openalex:S196734849],2021-11-18,False,True,Incoming,"['20411723', '20411723']",['20452322'],"Biochemistry, Genetics and Molecular Biology; Chemistry; Multidisciplinary; Physics and Astronomy","Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1); Multidisciplinary (Q1); Physics and Astronomy (miscellaneous) (Q1)",Q,Science,Multidisciplinary,Multidisciplinary (Q1),R|Q,Medicine | Science
oci:0605124309-061303539769,omid:br/0605124309,Virology Journal [omid:br/0622051094 issn:1743-422X openalex:S115714813],omid:br/061303539769,Communications Biology [omid:br/068042226 issn:2399-3642 openalex:S4210225776],2024-12-20,False,True,Incoming,['1743422X'],['23993642'],Immunology and Microbiology; Medicine,Infectious Diseases (Q1); Virology (Q2),RC109-216,Medicine: Internal medicine: Infectious and parasitic diseases,"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Medicine","Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)",QH301-705.5,Science: Biology (General)
oci:06470123627-06901746189,omid:br/06470123627,Astronomy & Astrophysics [omid:br/064040455 issn:0004-6361 issn:1432-0746 openalex:S205231332],omid:br/06901746189,Astronomy & Astrophysics [omid:br/064040455 issn:0004-6361 issn:1432-0746 openalex:S205231332],2023-09,True,False,Outgoing,"['00046361', '14320746']","['00046361', '14320746']",Earth and Planetary Sciences; Physics and Astronomy,Astronomy and Astrophysics (Q1); Space and Planetary Science (Q1),QB1-991,Science: Astronomy,Earth and Planetary Sciences; Physics and Astronomy,Astronomy and Astrophysics (Q1); Space and Planetary Science (Q1),QB1-991,Science: Astronomy
oci:061903823624-06210397244,omid:br/061903823624,Journal Of High Energy Physics [omid:br/062038872 issn:1029-8479 issn:1126-6708 openalex:S187585107],omid:br/06210397244,"Nuclear Instruments And Methods In Physics Research Section A: Accelerators, Spectrometers, Detectors And Associated Equipment [omid:br/069011716 issn:0168-9002 openalex:S145630073]",2014-11-04,True,False,Outgoing,"['10298479', '11266708']",['01689002'],Physics and Astronomy,Nuclear and High Energy Physics (Q2),QC770-798,Science: Physics: Nuclear and particle physics. Atomic energy. Radioactivity,Physics and Astronomy,Instrumentation (Q2); Nuclear and High Energy Physics (Q2),,
oci:06801192002-061101189495,omid:br/06801192002,Economic And Industrial Democracy [omid:br/066028487 issn:0143-831X issn:1461-7099 openalex:S5195456],omid:br/061101189495,Revista Colombiana De Reumatología (English Edition) [omid:br/06102183395 issn:2444-4405 openalex:S4210206491],2017-11-13,False,True,Incoming,"['0143831X', '14617099']",['24444405'],"Business, Management and Accounting","Business, Management and Accounting (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Organizational Behavior and Human Resource Management (Q1); Strategy and Management (Q1)",,,,,,
oci:06270620302-061401653937,omid:br/06270620302,Zeitschrift Für Physik C Particles And Fields [omid:br/0612035595 issn:0170-9739 issn:1431-5858 issn:1434-6044 issn:1434-6052],omid:br/061401653937,Zeitschrift Für Physik C Particles And Fields [omid:br/0612035595 issn:0170-9739 issn:1431-5858 issn:1434-6044 issn:1434-6052],2024-09-02,False,True,Incoming,"['01709739', '14315858', '14346044', '14346052']","['01709739', '14315858', '14346044', '14346052']",Engineering; Physics and Astronomy,Engineering (miscellaneous) (Q1); Physics and Astronomy (miscellaneous) (Q1),QB460-466|QC770-798,Science: Astronomy: Astrophysics | Science: Physics: Nuclear and particle physics. Atomic energy. Radioactivity,Engineering; Physics and Astronomy,Engineering (miscellaneous) (Q1); Physics and Astronomy (miscellaneous) (Q1),QB460-466|QC770-798,Science: Astronomy: Astrophysics | Science: Physics: Nuclear and particle physics. Atomic energy. Radioactivity
oci:06310532951-062602471478,omid:br/06310532951,Stochastics [omid:br/0690335170 issn:1744-2508 issn:1744-2516 openalex:S152786945],omid:br/062602471478,Applied Mathematics Letters [omid:br/0614048789 issn:0893-9659 openalex:S7571225],2024-05-06,False,True,Incoming,"['17442508', '17442516']",['08939659'],Mathematics,Modeling and Simulation (Q2); Statistics and Probability (Q3),,,Mathematics,Applied Mathematics (Q1),,
oci:061701736359-062301810861,omid:br/061701736359,The Astrophysical Journal [omid:br/064040542 issn:0004-637X issn:1538-4357 openalex:S1980519],omid:br/062301810861,Monthly Notices Of The Royal Astronomical Society [omid:br/067041753 doi:10.1111/(issn)1365-2966 issn:0035-8711 issn:1365-2966 openalex:S195663288],2006-12-26,False,True,Incoming,"['0004637X', '15384357']","['13652966', '00358711', '13652966']",Earth and Planetary Sciences; Physics and Astronomy,Astronomy and Astrophysics (Q1); Space and Planetary Science (Q1),QB460-466,Science: Astronomy: Astrophysics,Earth and Planetary Sciences; Physics and Astronomy,Astronomy and Astrophysics (Q1); Space and Planetary Science (Q1),QB1-991,Science: Astronomy
oci:0640569877-0690501037,omid:br/0640569877,Physical Review D [omid:br/062509685 issn:2470-0010 issn:2470-0029 openalex:S4210238307],omid:br/0690501037,The Astrophysical Journal [omid:br/062408625 issn:2041-8205 issn:2041-8213 openalex:S4210175824],2022-02-28,False,True,Incoming,"['24700010', '24700029']","['20418205', '20418213']",Physics and Astronomy,Nuclear and High Energy Physics (Q1); Physics and Astronomy (miscellaneous) (Q1),,,Earth and Planetary Sciences; Physics and Astronomy,Astronomy and Astrophysics (Q1); Space and Planetary Science (Q1),QB460-466,Science: Astronomy: Astrophysics
oci:0680439732-06140557721,omid:br/0680439732,Physics Of Atomic Nuclei [omid:br/0626015446 issn:1063-7788 issn:1562-692X openalex:S20255291],omid:br/06140557721,Physical Review D [omid:br/062509685 issn:2470-0010 issn:2470-0029 openalex:S4210238307],2021-07,False,True,Incoming,"['10637788', '1562692X']","['24700010', '24700029']",Physics and Astronomy,"Nuclear and High Energy Physics (Q3); Atomic and Molecular Physics, and Optics (Q4)",,,Physics and Astronomy,Nuclear and High Energy Physics (Q1); Physics and Astronomy (miscellaneous) (Q1),,
oci:06180123957-06801656108,omid:br/06180123957,Chemical Physics Letters [omid:br/062302564 issn:0009-2614 openalex:S44567922],omid:br/06801656108,The Journal Of Chemical Physics [omid:br/067037880 issn:0021-9606 issn:1089-7690 openalex:S77047749],1996-07,False,True,Incoming,['00092614'],"['00219606', '10897690']",Chemistry; Physics and Astronomy,Physical and Theoretical Chemistry (Q2); Physics and Astronomy (miscellaneous) (Q2),,,Chemistry; Medicine; Physics and Astronomy,Physical and Theoretical Chemistry (Q1); Physics and Astronomy (miscellaneous) (Q1); Medicine (miscellaneous) (Q2),,
oci:061201388816-06803158501,omid:br/061201388816,Journal Of Economic Interaction And Coordination [omid:br/061201389205 issn:1860-711X issn:1860-7128 openalex:S146534985],omid:br/06803158501,"Journal Of Money, Credit And Banking [omid:br/066054406 doi:10.1111/(issn)1538-4616 issn:0022-2879 issn:1538-4616 openalex:S2058785]",2021-12-07,True,False,Outgoing,"['1860711X', '18607128']","['15384616', '00222879', '15384616']","Business, Management and Accounting; Economics, Econometrics and Finance",Business and International Management (Q3); Economics and Econometrics (Q3),,,"Business, Management and Accounting; Economics, Econometrics and Finance",Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1),,
