id,citing,cited,creation,is_citing_iris,is_cited_iris
oci:061702616874-062301308805,omid:br/061702616874,omid:br/062301308805,2022-06-29,false,true
oci:061202090713-061802428953,omid:br/061202090713,omid:br/061802428953,2022-10,false,true
oci:061603306271-0630600947,omid:br/061603306271,omid:br/0630600947,2022-09,false,true
oci:061303518907-062102175451,omid:br/061303518907,omid:br/062102175451,2022-10-07,false,true
oci:061702616860-0650276207,omid:br/061702616860,omid:br/0650276207,2022-06-29,true,false
oci:062502307413-061601519434,omid:br/062502307413,omid:br/061601519434,2022-06,false,true
oci:061702616816-06101176669,omid:br/061702616816,omid:br/06101176669,2022-06-30,true,false
oci:06502732859-06230836070,omid:br/06502732859,omid:br/06230836070,2022,false,true
oci:061503542568-0660140316,omid:br/061503542568,omid:br/0660140316,2022-10-07,false,true
oci:061303496843-061802039482,omid:br/061303496843,omid:br/061802039482,2022-07-03,false,true
oci:061402065931-061901518960,omid:br/061402065931,omid:br/061901518960,2022-06-30,true,false
oci:06901326477-062601775581,omid:br/06901326477,omid:br/062601775581,2022-06-28,true,false
oci:06501799590-06901181572,omid:br/06501799590,omid:br/06901181572,2022-08,false,true
oci:06120213053-062101419788,omid:br/06120213053,omid:br/062101419788,2022-07-04,false,true
oci:061401868393-061502120838,omid:br/061401868393,omid:br/061502120838,2022,false,true
oci:061702878825-061601144288,omid:br/061702878825,omid:br/061601144288,2022-09-30,false,true
oci:062303532729-06210417562,omid:br/062303532729,omid:br/06210417562,2022-08,false,true
oci:061602446151-06260452169,omid:br/061602446151,omid:br/06260452169,2022-08,false,true
oci:061503488296-061602633216,omid:br/061503488296,omid:br/061602633216,2022,false,true
oci:062103511100-062301208947,omid:br/062103511100,omid:br/062301208947,2022-12,true,false
oci:061503490943-06190779793,omid:br/061503490943,omid:br/06190779793,2022-11,true,false
oci:06302830185-06301676167,omid:br/06302830185,omid:br/06301676167,2022-09,true,true
oci:061702616816-0670430192,omid:br/061702616816,omid:br/0670430192,2022-06-30,true,false
oci:064207645-062102275042,omid:br/064207645,omid:br/062102275042,2022-06-28,true,false
oci:06202241274-062601281094,omid:br/06202241274,omid:br/062601281094,2022-11,true,true
oci:061201804806-06260702393,omid:br/061201804806,omid:br/06260702393,2021-12-01,true,false
oci:068079565-06201094137,omid:br/068079565,omid:br/06201094137,2022-06,false,true
oci:062601660242-061202452070,omid:br/062601660242,omid:br/061202452070,2022-06-30,false,true
oci:06903559425-06901847589,omid:br/06903559425,omid:br/06901847589,2022,false,true
oci:061303543720-06403303254,omid:br/061303543720,omid:br/06403303254,2022-10,false,true
oci:062602425157-06120592473,omid:br/062602425157,omid:br/06120592473,2022-09,false,true
oci:06190281421-06170419357,omid:br/06190281421,omid:br/06170419357,2022-08,true,false
oci:062503467520-06403477311,omid:br/062503467520,omid:br/06403477311,2022,true,false
oci:06901326477-0660170946,omid:br/06901326477,omid:br/0660170946,2022-06-28,true,false
oci:062203427014-061801809320,omid:br/062203427014,omid:br/061801809320,2022-09,false,true
oci:06501799589-0620219939,omid:br/06501799589,omid:br/0620219939,2022-08,false,true
oci:061201804806-0641043415,omid:br/061201804806,omid:br/0641043415,2021-12-01,true,false
oci:06230465644-061101317758,omid:br/06230465644,omid:br/061101317758,2022-06,false,true
oci:061702616816-061601955210,omid:br/061702616816,omid:br/061601955210,2022-06-30,true,false
oci:062203514315-06160138968,omid:br/062203514315,omid:br/06160138968,2022-11,true,true
oci:0640290571-0670286986,omid:br/0640290571,omid:br/0670286986,2022-11,true,false
oci:062202664267-062101530791,omid:br/062202664267,omid:br/062101530791,2022-07-18,true,false
oci:06801448990-06702160181,omid:br/06801448990,omid:br/06702160181,2022-06-28,true,false
