ror,legal_name,country_code,country_name,count,italian_institution,year_block,direction
https://ror.org/058kzsd48,Paderborn University,DE,Germany,67,UNIBO,2006-2010,incoming
https://ror.org/058m2zy02,Biblioteca Universitaria di Napoli,IT,Italy,280,UNIBO,2006-2010,incoming
https://ror.org/058m7ey48,Sandia National Laboratories California,US,United States,73,UNIBO,2006-2010,incoming
https://ror.org/058ma0d84,Töölö Hospital,FI,Finland,1,UNIBO,2006-2010,incoming
https://ror.org/058ms9w43,Fujian Provincial Cancer Hospital,CN,China,1,UNIBO,2006-2010,incoming
https://ror.org/058ndjg49,Logan University,US,United States,1,UNIBO,2006-2010,incoming
https://ror.org/058np3c43,Islamic Azad University Ardabil,IR,Iran,1,UNIBO,2006-2010,incoming
https://ror.org/058nrs650,Institute on Membrane Technology,IT,Italy,58,UNIBO,2006-2010,incoming
https://ror.org/058nry849,Geological Survey of Israel,IL,Israel,18,UNIBO,2006-2010,incoming
https://ror.org/058p1kn93,VA Long Beach Healthcare System,US,United States,17,UNIBO,2006-2010,incoming
https://ror.org/058pdbn81,Dankook University,KR,South Korea,62,UNIBO,2006-2010,incoming
https://ror.org/058pgtg13,Evelina London Children's Healthcare,GB,United Kingdom,15,UNIBO,2006-2010,incoming
https://ror.org/058pmah25,Federal Reserve Bank of Richmond,US,United States,3,UNIBO,2006-2010,incoming
https://ror.org/058pyyv44,National Astronomical Observatories,CN,China,454,UNIBO,2006-2010,incoming
https://ror.org/058q1cn43,Goce Delcev University,MK,North Macedonia,6,UNIBO,2006-2010,incoming
https://ror.org/058q57q63,University College South Denmark,DK,Denmark,2,UNIBO,2006-2010,incoming
https://ror.org/058qjc262,Central Muga Eri Research and Training Institute,IN,India,1,UNIBO,2006-2010,incoming
https://ror.org/058qm9p63,Royal Meteorological Institute of Belgium,BE,Belgium,51,UNIBO,2006-2010,incoming
https://ror.org/058qmst67,Hôpital Saint Roch,FR,France,5,UNIBO,2006-2010,incoming
https://ror.org/058qtt435,United Nations Population Fund,US,United States,1,UNIBO,2006-2010,incoming
https://ror.org/058rdjg17,DEKA (United States),US,United States,1,UNIBO,2006-2010,incoming
https://ror.org/058rn5r42,Hasso Plattner Institute,DE,Germany,2,UNIBO,2006-2010,incoming
https://ror.org/058rxv392,University Hospital of North Tees,GB,United Kingdom,2,UNIBO,2006-2010,incoming
https://ror.org/058rymf81,National Research Council of Science and Technology,KR,South Korea,212,UNIBO,2006-2010,incoming
https://ror.org/058s20p71,Public Health Foundation of India,IN,India,5,UNIBO,2006-2010,incoming
https://ror.org/058s63h23,National Rehabilitation Center for Persons with Disabilities,JP,Japan,1,UNIBO,2006-2010,incoming
https://ror.org/058sshm54,Institute of Oceanology,BG,Bulgaria,9,UNIBO,2006-2010,incoming
https://ror.org/058t6p923,Laboratoire Leprince-Ringuet,FR,France,2365,UNIBO,2006-2010,incoming
https://ror.org/058t7m662,Ivanovo State Polytechnic University,RU,Russia,2,UNIBO,2006-2010,incoming
https://ror.org/058t7w767,State Key Laboratory of Drug Research,CN,China,52,UNIBO,2006-2010,incoming
https://ror.org/058td2q88,Hôpital Foch,FR,France,51,UNIBO,2006-2010,incoming
https://ror.org/058thx797,Hospital Universitario Virgen de la Arrixaca,ES,Spain,48,UNIBO,2006-2010,incoming
https://ror.org/058tw4f12,International Gemini Observatory,US,United States,105,UNIBO,2006-2010,incoming
https://ror.org/058w59113,Des Moines University,US,United States,6,UNIBO,2006-2010,incoming
