legal_name,country_name,country_code,ror,count
Scuola Normale Superiore,Italy,IT,https://ror.org/03aydme10,16828
Centre National de la Recherche Scientifique,France,FR,https://ror.org/02feahw73,15745
University of Pisa,Italy,IT,https://ror.org/03ad39j10,12045
University of Bologna,Italy,IT,https://ror.org/01111rn36,12008
European Organization for Nuclear Research,Switzerland,CH,https://ror.org/01ggx4157,12005
Sapienza University of Rome,Italy,IT,https://ror.org/02be6w209,11395
Institut National de Physique Nucléaire et de Physique des Particules,France,FR,https://ror.org/03fd77x13,10910
Massachusetts Institute of Technology,United States,US,https://ror.org/042nb2s44,10453
University of Padua,Italy,IT,https://ror.org/00240q980,10404
Consejo Superior de Investigaciones Científicas,Spain,ES,https://ror.org/02gfc7t72,10097
Université Paris-Saclay,France,FR,https://ror.org/03xjwb503,9885
University of Oxford,United Kingdom,GB,https://ror.org/052gg0110,9530
Roma Tre University,Italy,IT,https://ror.org/05vf0dg29,9450
Science and Technology Facilities Council,United Kingdom,GB,https://ror.org/057g20z61,9282
University of Genoa,Italy,IT,https://ror.org/0107c5v14,9172
Rutherford Appleton Laboratory,United Kingdom,GB,https://ror.org/03gq8fr08,9100
Lomonosov Moscow State University,Russia,RU,https://ror.org/010pmpe69,8735
Imperial College London,United Kingdom,GB,https://ror.org/041kmwe10,8558
University of Milan,Italy,IT,https://ror.org/00wjc7c48,8311
Universidade Federal do Rio de Janeiro,Brazil,BR,https://ror.org/03490as77,8263
Physical Sciences Division,Russia,RU,https://ror.org/00ns9pc83,8158
University of Naples Federico II,Italy,IT,https://ror.org/05290cv24,8080
University of Bari Aldo Moro,Italy,IT,https://ror.org/027ynra39,7997
University of Bristol,United Kingdom,GB,https://ror.org/0524sp257,7962
Max Planck Society,Germany,DE,https://ror.org/01hhn8329,7933
The University of Texas System,United States,US,https://ror.org/01gek1696,7926
Lawrence Berkeley National Laboratory,United States,US,https://ror.org/02jbv0t02,7904
"University of Maryland, College Park",United States,US,https://ror.org/047s2c258,7784
University of Milano-Bicocca,Italy,IT,https://ror.org/01ynf4891,7754
The Ohio State University,United States,US,https://ror.org/00rs6vg23,7660
Fermi National Accelerator Laboratory,United States,US,https://ror.org/020hgte69,7621
California Institute of Technology,United States,US,https://ror.org/05dxps055,7595
Université Paris Cité,France,FR,https://ror.org/05f82e368,7424
Northwestern University,United States,US,https://ror.org/000e0be47,7359
University of California System,United States,US,https://ror.org/00pjdza24,7264
University of Trieste,Italy,IT,https://ror.org/02n742c10,7216
University of Zurich,Switzerland,CH,https://ror.org/02crff812,7206
Joint Institute for Nuclear Research,Russia,RU,https://ror.org/044yd9t77,7131
University of Salford,United Kingdom,GB,https://ror.org/01tmqtf75,6973
University of Wisconsin System,United States,US,https://ror.org/03ydkyb10,6886
Université Grenoble Alpes,France,FR,https://ror.org/02rx3b187,6814
University of Pavia,Italy,IT,https://ror.org/00s6t1f81,6725
Johns Hopkins University,United States,US,https://ror.org/00za53h95,6724
"Istituto Nazionale di Fisica Nucleare, Laboratori Nazionali di Frascati",Italy,IT,https://ror.org/049jf1a25,6721
University of Basilicata,Italy,IT,https://ror.org/03tc05689,6651
University of Helsinki,Finland,FI,https://ror.org/040af2s02,6616
ETH Zurich,Switzerland,CH,https://ror.org/05a28rw58,6612
University of Florence,Italy,IT,https://ror.org/04jr1s763,6582
Université Savoie Mont Blanc,France,FR,https://ror.org/04gqg1a07,6562
Karlsruhe Institute of Technology,Germany,DE,https://ror.org/04t3en479,6527
University of Perugia,Italy,IT,https://ror.org/00x27da85,6523
University of Turin,Italy,IT,https://ror.org/048tbm396,6513
University of Wisconsin–Oshkosh,United States,US,https://ror.org/05w22af52,6415
Institute for Theoretical and Experimental Physics,Russia,RU,https://ror.org/0238gz740,6398
University of Wisconsin–Madison,United States,US,https://ror.org/01y2jtd41,6377
Institute for High Energy Physics,Russia,RU,https://ror.org/03kn4xv14,6349
National and Kapodistrian University of Athens,Greece,GR,https://ror.org/04gnjpq42,6299
University of Iowa,United States,US,https://ror.org/036jqmy94,6296
College of New Jersey,United States,US,https://ror.org/02nx5r318,6227
Universidad Autónoma de Madrid,Spain,ES,https://ror.org/01cby8j38,6226
University of Liverpool,United Kingdom,GB,https://ror.org/04xs57h96,6167
University of Notre Dame,United States,US,https://ror.org/00mkhxb43,6152
Kharkiv Institute of Physics and Technology,Ukraine,UA,https://ror.org/00183pc12,6136
University of Virginia,United States,US,https://ror.org/0153tk833,6077
"Rutgers, The State University of New Jersey",United States,US,https://ror.org/05vt9qd57,6077
New York University Florence,Italy,IT,https://ror.org/02pthyn77,6023
"University of California, Davis",United States,US,https://ror.org/05rrcem69,5923
Heidelberg University,Germany,DE,https://ror.org/038t36y30,5887
École Polytechnique,France,FR,https://ror.org/05hy3tk52,5867
Mississippi Institutions of Higher Learning,United States,US,https://ror.org/04kqgqa72,5854
Purdue University West Lafayette,United States,US,https://ror.org/02dqehb95,5828
University of Mississippi,United States,US,https://ror.org/02teq1165,5790
Deutsches Elektronen-Synchrotron DESY,Germany,DE,https://ror.org/01js2sh04,5772
"University of California, Santa Barbara",United States,US,https://ror.org/02t274463,5755
Peking University,China,CN,https://ror.org/02v51f717,5741
Charles University,Czechia,CZ,https://ror.org/024d6js02,5731
University of Florida,United States,US,https://ror.org/02y3ad647,5723
Cornell University,United States,US,https://ror.org/05bnh6r87,5715
RWTH Aachen University,Germany,DE,https://ror.org/04xfq0f34,5710
Université Claude Bernard Lyon 1,France,FR,https://ror.org/029brtt94,5707
University of Tennessee at Knoxville,United States,US,https://ror.org/020f3ap87,5689
University of Rochester,United States,US,https://ror.org/022kthw22,5664
University of Belgrade,Serbia,RS,https://ror.org/02qsmb048,5654
"University of California, Riverside",United States,US,https://ror.org/03nawhv43,5650
University of Colorado Boulder,United States,US,https://ror.org/02ttsq026,5631
University of Edinburgh,United Kingdom,GB,https://ror.org/01nrxwf90,5613
Université de Lyon,France,FR,https://ror.org/01rk35k63,5609
University College Dublin,Ireland,IE,https://ror.org/05m7pjf47,5599
UCLouvain,Belgium,BE,https://ror.org/02495e989,5584
Universidad de Cantabria,Spain,ES,https://ror.org/046ffzj20,5578
Tata Institute of Fundamental Research,India,IN,https://ror.org/03ht1xw27,5527
Seoul National University,South Korea,KR,https://ror.org/04h9pn542,5503
Boston University,United States,US,https://ror.org/05qwgg493,5484
Lappeenranta-Lahti University of Technology,Finland,FI,https://ror.org/0208vgz68,5480
Laboratoire d’Annecy de Physique des Particules,France,FR,https://ror.org/049nhh297,5454
University of Cambridge,United Kingdom,GB,https://ror.org/013meh722,5453
Petersburg Nuclear Physics Institute,Russia,RU,https://ror.org/037styt87,5435
University of Illinois Chicago,United States,US,https://ror.org/02mpq6x41,5434
State University of New York at Potsdam,United States,US,https://ror.org/032qgrc76,5418
"University of California, Los Angeles",United States,US,https://ror.org/046rm7j60,5414
Université de Strasbourg,France,FR,https://ror.org/00pg6eq24,5414
Direction de la Recherche Fondamentale,France,FR,https://ror.org/01yvj5k91,5405
Universität Hamburg,Germany,DE,https://ror.org/00g30e956,5353
