legal_name,country_name,country_code,ror,count
National Research Council,Italy,IT,https://ror.org/04zaypm56,5334
Korea University,South Korea,KR,https://ror.org/047dqcg40,5317
Brunel University of London,United Kingdom,GB,https://ror.org/00dn4t376,5310
Carnegie Mellon University,United States,US,https://ror.org/05x2bcf33,5307
Brown University,United States,US,https://ror.org/05gq02987,5297
Wayne State College,United States,US,https://ror.org/02cntrd02,5263
University of Minnesota System,United States,US,https://ror.org/03grvy078,5258
Florida Southern College,United States,US,https://ror.org/026hjc247,5256
University of Minnesota Morris,United States,US,https://ror.org/05vzqzh92,5254
Universitat de València,Spain,ES,https://ror.org/043nxc105,5242
Panjab University,India,IN,https://ror.org/04p2sbk06,5238
Kyungpook National University,South Korea,KR,https://ror.org/040c17130,5232
Ghent University,Belgium,BE,https://ror.org/00cv9y106,5230
Wayne State University,United States,US,https://ror.org/01070mq45,5208
University of Trento,Italy,IT,https://ror.org/05trd4x28,5199
University System of Taiwan,Taiwan,TW,https://ror.org/054kvr030,5077
Institute of Nuclear Physics of Lyon,France,FR,https://ror.org/03z4c6358,5061
Goa University,India,IN,https://ror.org/030reqw53,5040
IE University,Spain,ES,https://ror.org/02jjdwm75,5039
Sorbonne Paris Cité,France,FR,https://ror.org/001z21q04,5035
Texas A&M University,United States,US,https://ror.org/01f5ytq51,5034
Polish Academy of Learning,Poland,PL,https://ror.org/03q674f15,5029
Universidade Estadual Paulista (Unesp),Brazil,BR,https://ror.org/00987cb86,5029
Laboratoire Leprince-Ringuet,France,FR,https://ror.org/058t6p923,5019
Maharaja Bir Bikram University,India,IN,https://ror.org/05afd6695,5017
Boğaziçi University,Türkiye,TR,https://ror.org/03z9tma90,5009
Istituto Nazionale di Fisica Nucleare,Italy,IT,https://ror.org/005ta0471,5005
Austrian Academy of Sciences,Austria,AT,https://ror.org/03anc3s24,4998
Università degli Studi del Piemonte Orientale “Amedeo Avogadro”,Italy,IT,https://ror.org/04387x656,4992
University of Catania,Italy,IT,https://ror.org/03a64bh57,4967
Polytechnic University of Bari,Italy,IT,https://ror.org/03c44v465,4941
National Taiwan University of Arts,Taiwan,TW,https://ror.org/00wy14q17,4940
Boston College,United States,US,https://ror.org/02n2fzt79,4932
Université de Haute-Alsace,France,FR,https://ror.org/04k8k6n84,4913
Lawrence Livermore National Laboratory,United States,US,https://ror.org/041nk4h53,4898
Rockefeller University,United States,US,https://ror.org/0420db125,4880
University of Warsaw,Poland,PL,https://ror.org/039bjqg32,4870
University of Kansas,United States,US,https://ror.org/001tmjg57,4859
Baylor University,United States,US,https://ror.org/005781934,4843
University of Glasgow,United Kingdom,GB,https://ror.org/00vtgdb53,4836
University of Warwick,United Kingdom,GB,https://ror.org/01a77tt86,4826
Kansas State University,United States,US,https://ror.org/05p1j8758,4822
Centre de Calcul de l’Institut National de Physique Nucléaire et de Physique des Particules,France,FR,https://ror.org/04dcc3438,4815
Chonnam National University,South Korea,KR,https://ror.org/05kzjxq56,4815
Hungarian Academy of Sciences,Hungary,HU,https://ror.org/02ks8qq67,4803
Laboratoire de Physique des 2 Infinis Irène Joliot-Curie,France,FR,https://ror.org/03gc1p724,4792
University of California San Diego,United States,US,https://ror.org/0168r3w48,4791
Northeastern University,United States,US,https://ror.org/04t5xt781,4785
University of Minnesota,United States,US,https://ror.org/017zqws13,4782
Rice University,United States,US,https://ror.org/008zs3103,4767
University of Delhi,India,IN,https://ror.org/04gzb2213,4745
Sungkyunkwan University,South Korea,KR,https://ror.org/04q78tk20,4742
"Ministry of Science, Technology and Innovation",Brazil,BR,https://ror.org/050zdnc69,4731
Aix-Marseille Université,France,FR,https://ror.org/035xkbk20,4723
Bulgarian Academy of Sciences,Bulgaria,BG,https://ror.org/01x8hew03,4718
Université Libre de Bruxelles,Belgium,BE,https://ror.org/01r9htc13,4716
Florida State University,United States,US,https://ror.org/05g3dte14,4709
Institut Pluridisciplinaire Hubert Curien,France,FR,https://ror.org/01g3mb532,4708
University of Rome Tor Vergata,Italy,IT,https://ror.org/02p77k626,4680
Universidad de Oviedo,Spain,ES,https://ror.org/006gksa02,4657
National Central University,Taiwan,TW,https://ror.org/00944ve71,4652
University of Cyprus,Cyprus,CY,https://ror.org/02qjrjx09,4630
University System of Ohio,United States,US,https://ror.org/0561zqn56,4571
Tbilisi State University,Georgia,GE,https://ror.org/05fd1hd85,4560
Vrije Universiteit Brussel,Belgium,BE,https://ror.org/006e5kg04,4541
Universitat de Barcelona,Spain,ES,https://ror.org/021018s57,4532
Centro Brasileiro de Pesquisas Físicas,Brazil,BR,https://ror.org/02wnmk332,4523
Université Clermont Auvergne,France,FR,https://ror.org/01a8ajp46,4491
Middle East Technical University,Türkiye,TR,https://ror.org/014weej12,4464
University of Antwerp,Belgium,BE,https://ror.org/008x57b05,4434
Cukurova University,Türkiye,TR,https://ror.org/05wxkj555,4425
University of Southampton,United Kingdom,GB,https://ror.org/01ryk1543,4406
Benemérita Universidad Autónoma de Puebla,Mexico,MX,https://ror.org/03p2z7827,4394
Chinese Academy of Sciences,China,CN,https://ror.org/034t30j35,4381
Novosibirsk State University,Russia,RU,https://ror.org/04t2ss102,4370
Vanderbilt University,United States,US,https://ror.org/02vm5rt34,4343
"University of California, San Francisco",United States,US,https://ror.org/043mz5j54,4340
University of Jyväskylä,Finland,FI,https://ror.org/05n3dz165,4336
Aalto University,Finland,FI,https://ror.org/020hwjq30,4323
University of Nebraska–Lincoln,United States,US,https://ror.org/043mer456,4317
Texas Tech University,United States,US,https://ror.org/0405mnx93,4293
"University at Buffalo, State University of New York",United States,US,https://ror.org/01y64my43,4286
University of Cincinnati,United States,US,https://ror.org/01e3m7079,4280
National Institute of Chemical Physics and Biophysics,Estonia,EE,https://ror.org/03eqd4a41,4277
"Universidad de San Buenaventura, Bogota",Colombia,CO,https://ror.org/04sqpjb51,4267
Sungkyul University,South Korea,KR,https://ror.org/02dzzka09,4266
Universidad Iberoamericana del Norte,Mexico,MX,https://ror.org/0142qzn68,4260
Paul Scherrer Institute,Switzerland,CH,https://ror.org/03eh3y714,4244
University of Birmingham,United Kingdom,GB,https://ror.org/03angcq70,4235
"Sofia University ""St. Kliment Ohridski""",Bulgaria,BG,https://ror.org/02jv3k292,4221
Universidad de Los Andes,Colombia,CO,https://ror.org/02mhbdp94,4217
Bhabha Atomic Research Centre,India,IN,https://ror.org/05w6wfp17,4184
University of Nebraska System,United States,US,https://ror.org/0238rvs44,4182
University of Debrecen,Hungary,HU,https://ror.org/02xf66n48,4180
University of Ioannina,Greece,GR,https://ror.org/01qg3j183,4175
University of Mons,Belgium,BE,https://ror.org/02qnnz951,4158
Helsinki Institute of Physics,Finland,FI,https://ror.org/01x2x1522,4157
University of Auckland,New Zealand,NZ,https://ror.org/03b94tp07,4156
Florida Institute of Technology,United States,US,https://ror.org/04atsbb87,4154
Argonne National Laboratory,United States,US,https://ror.org/05gvnxz63,4142
Quaid-i-Azam University,Pakistan,PK,https://ror.org/04s9hft57,4136
Vilnius University,Lithuania,LT,https://ror.org/03nadee84,4132
Institute of High Energy Physics,China,CN,https://ror.org/03v8tnc06,4101
Florida International University,United States,US,https://ror.org/02gz6gg07,4100
TU Dortmund University,Germany,DE,https://ror.org/01k97gp34,4096
University of Canterbury,New Zealand,NZ,https://ror.org/03y7q9t39,4092
Kangwon National University,South Korea,KR,https://ror.org/01mh5ph17,4084
A. Alikhanyan National Laboratory,Armenia,AM,https://ror.org/00ad27c73,4041
Saha Institute of Nuclear Physics,India,IN,https://ror.org/0491yz035,4031
Siberian Branch of the Russian Academy of Sciences,Russia,RU,https://ror.org/02frkq021,4017
Institute for Nuclear Research,Russia,RU,https://ror.org/01a1xfd09,4009
University of Amsterdam,The Netherlands,NL,https://ror.org/04dkp9463,4001
Fairfield University,United States,US,https://ror.org/04z49n283,3980
Institut Polytechnique de Paris,France,FR,https://ror.org/042tfbd02,3973
Universidade Federal do ABC,Brazil,BR,https://ror.org/028kg9j04,3966
École Polytechnique Fédérale de Lausanne,Switzerland,CH,https://ror.org/02s376052,3957
Harvard University,United States,US,https://ror.org/03vek6s52,3917
Autonomous University of San Luis Potosí,Mexico,MX,https://ror.org/000917t60,3917
Tsinghua University,China,CN,https://ror.org/03cve4549,3910
University of Split,Croatia,HR,https://ror.org/00m31ft63,3881
University College London,United Kingdom,GB,https://ror.org/02jx3x895,3876
Budker Institute of Nuclear Physics,Russia,RU,https://ror.org/03e5eem51,3862
Jagiellonian University,Poland,PL,https://ror.org/03bqmcz70,3845
Alabama Agricultural and Mechanical University,United States,US,https://ror.org/05hz8m414,3842
University of Brescia,Italy,IT,https://ror.org/02q2d2610,3806
The University of Tokyo,Japan,JP,https://ror.org/057zh3y96,3770
Tokat Gaziosmanpaşa Üniversitesi,Türkiye,TR,https://ror.org/01rpe9k96,3734
University of Ferrara,Italy,IT,https://ror.org/041zkgm14,3725
Instituto de Física de Cantabria,Spain,ES,https://ror.org/040kx1j83,3634
University of Siena,Italy,IT,https://ror.org/01tevnk56,3619
Sorbonne Université,France,FR,https://ror.org/02en5vm52,3579
Johannes Gutenberg University Mainz,Germany,DE,https://ror.org/023b0x485,3516
"University of California, Irvine",United States,US,https://ror.org/04gyf1771,3515
University of Cagliari,Italy,IT,https://ror.org/003109y17,3515
Syracuse University,United States,US,https://ror.org/025r5qe02,3488
University of Puerto Rico-Mayaguez,Puerto Rico,PR,https://ror.org/00wek6x04,3382
University of Alabama,United States,US,https://ror.org/03xrrjk67,3380
University of Alabama System,United States,US,https://ror.org/051fvmk98,3380
University of Chicago,United States,US,https://ror.org/024mw5h28,3370
CERCA Institution,Spain,ES,https://ror.org/01bkbaq61,3342
University of Geneva,Switzerland,CH,https://ror.org/01swzsf04,3324
Barcelona Institute of Science and Technology,Spain,ES,https://ror.org/03kpps236,3303
Brookhaven National Laboratory,United States,US,https://ror.org/02ex6cf31,3290
Vrije Universiteit Amsterdam,The Netherlands,NL,https://ror.org/008xxew50,3238
Stanford University,United States,US,https://ror.org/00f54p054,3225
Izmir Institute of Technology,Türkiye,TR,https://ror.org/03stptj97,3197
"University of California, Santa Cruz",United States,US,https://ror.org/03s65by71,3150
Michigan State University,United States,US,https://ror.org/05hs6h993,3129
"University of California, Berkeley",United States,US,https://ror.org/01an7q238,3122
Laboratoire de Physique de Clermont Auvergne,France,FR,https://ror.org/0214k6v65,3092
Institute for High Energy Physics,Spain,ES,https://ror.org/01sdrjx85,3084
University of Rostock,Germany,DE,https://ror.org/03zdwsf69,3065
Centre de physique des particules de Marseille,France,FR,https://ror.org/00fw8bp86,3057
Polish Academy of Sciences,Poland,PL,https://ror.org/01dr6c206,3033
Belarusian State University of Transport,Belarus,BY,https://ror.org/03vt4hz19,3032
Universidade de Santiago de Compostela,Spain,ES,https://ror.org/030eybx10,3026
Library and Information Centre of the Hungarian Academy of Sciences,Hungary,HU,https://ror.org/04ws47v52,3017
Universitat Autònoma de Barcelona,Spain,ES,https://ror.org/052g8jq94,2995
University of Pittsburgh,United States,US,https://ror.org/01an3r305,2979
LIP - Laboratory of Instrumentation and Experimental Particle Physics,Portugal,PT,https://ror.org/01hys1667,2964
"Centro de Investigaciones Energéticas, Medioambientales y Tecnológicas",Spain,ES,https://ror.org/05xx77y52,2928
University of Michigan–Flint,United States,US,https://ror.org/01c3xc117,2909
Istanbul Technical University,Türkiye,TR,https://ror.org/059636586,2880
Université Paris Descartes,France,FR,https://ror.org/0220k9r37,2880
National Centre for Nuclear Research,Poland,PL,https://ror.org/00nzsxq20,2873
Dutch Research Council,The Netherlands,NL,https://ror.org/04jsz6e67,2866
McGill University,Canada,CA,https://ror.org/01pxwe438,2855
Laboratoire de Physique Nucléaire et de Hautes Énergies,France,FR,https://ror.org/01hg8p552,2848
Purdue University System,United States,US,https://ror.org/05p8z3f47,2845
University of Massachusetts System,United States,US,https://ror.org/0260j1g46,2837
Eötvös Loránd University,Hungary,HU,https://ror.org/01jsq2704,2836
SLAC National Accelerator Laboratory,United States,US,https://ror.org/05gzmn429,2802
University of British Columbia,Canada,CA,https://ror.org/03rmrcq20,2801
Clermont Université,France,FR,https://ror.org/03yf5zr20,2797
Ruđer Bošković Institute,Croatia,HR,https://ror.org/02mw21745,2792
Purdue University Northwest,United States,US,https://ror.org/04keq6987,2779
University of Michigan,United States,US,https://ror.org/00jmfr291,2720
Iowa State University,United States,US,https://ror.org/04rswrd78,2717
University of Bonn,Germany,DE,https://ror.org/041nas322,2715
HUN-REN Wigner Research Centre for Physics,Hungary,HU,https://ror.org/035dsb084,2709
National Institute for Subatomic Physics,The Netherlands,NL,https://ror.org/00f9tz983,2688
University of Mary,United States,US,https://ror.org/055f0jp24,2683
Queen Mary University of London,United Kingdom,GB,https://ror.org/026zzn846,2673
University of Modena and Reggio Emilia,Italy,IT,https://ror.org/02d4c4y02,2660
The King's University,United States,US,https://ror.org/02p5gkq58,2644
Tel Aviv University,Israel,IL,https://ror.org/04mhzgx49,2620
DePaul University,United States,US,https://ror.org/04xtx5t16,2616
University of Göttingen,Germany,DE,https://ror.org/01y9bpm73,2610
University of Urbino,Italy,IT,https://ror.org/04q4kt073,2577
Ege University,Türkiye,TR,https://ror.org/02eaafc18,2571
Yale University,United States,US,https://ror.org/03v76x132,2555
University of Science and Technology of China,China,CN,https://ror.org/04c4dkn09,2538
Humboldt-Universität zu Berlin,Germany,DE,https://ror.org/01hcx6992,2530
Duke University,United States,US,https://ror.org/00py81415,2528
The University of Melbourne,Australia,AU,https://ror.org/01ej9dk98,2507
Instituto Politécnico Nacional,Mexico,MX,https://ror.org/059sp8j34,2471
University of Groningen,The Netherlands,NL,https://ror.org/012p63287,2453
Czech Academy of Sciences,Czechia,CZ,https://ror.org/053avzc18,2449
Institute for Research in Fundamental Sciences,Iran,IR,https://ror.org/04xreqs31,2445
Lund University,Sweden,SE,https://ror.org/012a77v79,2438
"Institute of Nuclear Physics, Polish Academy of Sciences",Poland,PL,https://ror.org/01n78t774,2420
Yıldız Technical University,Türkiye,TR,https://ror.org/0547yzj13,2419
Institut de Physique,France,FR,https://ror.org/00z54nq84,2415
Stony Brook University,United States,US,https://ror.org/05qghxh33,2415
Pontifícia Universidade Católica do Rio de Janeiro,Brazil,BR,https://ror.org/01dg47b60,2405
Tokai National Higher Education and Research System,Japan,JP,https://ror.org/04d139241,2364
Nagoya University,Japan,JP,https://ror.org/04chrp450,2355
Royal Holloway University of London,United Kingdom,GB,https://ror.org/04g2vpn86,2325
Visva-Bharati University,India,IN,https://ror.org/02y28sc20,2321
Brandenburg University of Technology Cottbus-Senftenberg,Germany,DE,https://ror.org/02wxx3e24,2321
University of Victoria,Canada,CA,https://ror.org/04s5mat29,2320
University of Pennsylvania,United States,US,https://ror.org/00b30xv10,2299
State Research Center of the Russian Federation,Russia,RU,https://ror.org/04qpssw85,2295
Tufts University,United States,US,https://ror.org/05wvpxv85,2291
Southern Methodist University,United States,US,https://ror.org/042tdr378,2287
Institute for Nuclear Research and Nuclear Energy,Bulgaria,BG,https://ror.org/0276rjc88,2275
"National Centre of Scientific Research ""Demokritos""",Greece,GR,https://ror.org/038jp4m40,2272
AGH University of Krakow,Poland,PL,https://ror.org/00bas1c41,2267
Institut National des Sciences de l'Univers,France,FR,https://ror.org/04kdfz702,2259
Slovak Academy of Sciences,Slovakia,SK,https://ror.org/03h7qq074,2253
Central China Normal University,China,CN,https://ror.org/03x1jna21,2251
Mersin Üniversitesi,Türkiye,TR,https://ror.org/04nqdwb39,2246
Abdus Salam Centre for Physics,Pakistan,PK,https://ror.org/03e1sv842,2242
Max Planck Institute for Physics,Germany,DE,https://ror.org/0079jjr10,2240
HUN-REN Institute for Nuclear Research,Hungary,HU,https://ror.org/006vxbq87,2238
Hungarian Research Network,Hungary,HU,https://ror.org/04w6pnc49,2238
Stockholm University,Sweden,SE,https://ror.org/05f0yaq80,2220
Academia Sinica,Taiwan,TW,https://ror.org/05bxb3784,2214
University of Oklahoma,United States,US,https://ror.org/02aqsxs83,2202
The University of Sydney,Australia,AU,https://ror.org/0384j8v12,2196
University of Puerto Rico System,Puerto Rico,PR,https://ror.org/02yg0nm07,2194
National Science Centre,Poland,PL,https://ror.org/03ha2q922,2182
Kyoto University,Japan,JP,https://ror.org/02kpeqv85,2179
National Research University of Electronic Technology,Russia,RU,https://ror.org/02hf6mx60,2158
University of Toronto,Canada,CA,https://ror.org/03dbr7087,2149
Technische Universität Dresden,Germany,DE,https://ror.org/042aqky30,2146
High Energy Accelerator Research Organization,Japan,JP,https://ror.org/01g5y5k24,2145
Özyeğin University,Türkiye,TR,https://ror.org/01jjhfr75,2141
University of Seoul,South Korea,KR,https://ror.org/05en5nh73,2137
University of Bergen,Norway,NO,https://ror.org/03zga2b32,2132
Weizmann Institute of Science,Israel,IL,https://ror.org/0316ej306,2129
University of Oregon,United States,US,https://ror.org/0293rh119,2108
Isfahan University of Technology,Iran,IR,https://ror.org/00af3sa43,2083
Université Joseph Fourier,France,FR,https://ror.org/02aj0kh94,2074
Kafkas University,Türkiye,TR,https://ror.org/04v302n28,2074
University of Tsukuba,Japan,JP,https://ror.org/02956yf07,2073
Adıyaman University,Türkiye,TR,https://ror.org/02s4gkg68,2061
Universitat Ramon Llull,Spain,ES,https://ror.org/04p9k2z50,2043
Russian Academy of Sciences,Russia,RU,https://ror.org/05qrfxd25,2042
Kurchatov Institute,Russia,RU,https://ror.org/00n1nz186,2037
Fayoum University,Egypt,EG,https://ror.org/023gzwx10,2037
The University of Texas at Austin,United States,US,https://ror.org/00hj54h04,2024
Indiana University,United States,US,https://ror.org/01kg8sb98,2022
Chulalongkorn University,Thailand,TH,https://ror.org/028wp3y58,2019
The University of Texas at Dallas,United States,US,https://ror.org/049emcs32,2017
CNRS Ingénierie,France,FR,https://ror.org/00s19x989,2013
National Research Nuclear University MEPhI,Russia,RU,https://ror.org/04w8z7f34,2006
Radboud University Nijmegen,The Netherlands,NL,https://ror.org/016xsfp80,1997
Ludwig-Maximilians-Universität München,Germany,DE,https://ror.org/05591te55,1985
Université de Montréal,Canada,CA,https://ror.org/0161xgx34,1984
Comenius University Bratislava,Slovakia,SK,https://ror.org/0587ef340,1983
University of Copenhagen,Denmark,DK,https://ror.org/035b05819,1955
University of Arizona,United States,US,https://ror.org/03m2x1q45,1946
University of Massachusetts Amherst,United States,US,https://ror.org/0072zz521,1946
University of Freiburg,Germany,DE,https://ror.org/0245cg223,1939
Institut polytechnique de Grenoble,France,FR,https://ror.org/05sbt2524,1937
Dokuz Eylül Üniversitesi Hastanesi,Türkiye,TR,https://ror.org/02d1ved90,1936
University of Sussex,United Kingdom,GB,https://ror.org/00ayhx656,1933
University of Illinois System,United States,US,https://ror.org/05e94g991,1932
University of Washington,United States,US,https://ror.org/00cvxb145,1930
Czech Technical University in Prague,Czechia,CZ,https://ror.org/03kqpb082,1921
Lancaster University,United Kingdom,GB,https://ror.org/04f2nsd36,1920
National Academy of Sciences,United States,US,https://ror.org/038mfx688,1911
Tokyo Metropolitan University,Japan,JP,https://ror.org/00ws30h19,1905
Universidad de Granada,Spain,ES,https://ror.org/04njjy449,1900
Uppsala University,Sweden,SE,https://ror.org/048a87296,1868
University of New Mexico,United States,US,https://ror.org/05fs6jp91,1862
Institute for Particle and Nuclear Physics,Hungary,HU,https://ror.org/008mx9f83,1853
Suez Canal University,Egypt,EG,https://ror.org/02m82p074,1853
University of Udine,Italy,IT,https://ror.org/05ht0mh31,1849
Durham University,United Kingdom,GB,https://ror.org/01v29qb04,1848
Waseda University,Japan,JP,https://ror.org/00ntfnx83,1846
Süleyman Şah University,Türkiye,TR,https://ror.org/05hez5t42,1842
Istituto Nanoscienze,Italy,IT,https://ror.org/0042e5975,1839
University of Oslo,Norway,NO,https://ror.org/01xtthb56,1837
University of Sheffield,United Kingdom,GB,https://ror.org/05krs5044,1828
British University in Egypt,Egypt,EG,https://ror.org/0066fxv63,1824
Erzincan Binali Yıldırım University,Türkiye,TR,https://ror.org/02h1e8605,1818
Institute of Physics,The Netherlands,NL,https://ror.org/03hxzy361,1810
Columbia University,United States,US,https://ror.org/00hj8s172,1799
Universidade de São Paulo,Brazil,BR,https://ror.org/036rp1748,1776
Homi Bhabha National Institute,India,IN,https://ror.org/02bv3zr67,1764
National Institute of Science Education and Research,India,IN,https://ror.org/02r2k1c68,1751
Okayama University,Japan,JP,https://ror.org/02pc6pc55,1728
King's College London,United Kingdom,GB,https://ror.org/0220mzb33,1727
Laboratoire de Physique Subatomique et de Cosmologie,France,FR,https://ror.org/03f0apy98,1719
University of Ljubljana,Slovenia,SI,https://ror.org/05njb9z20,1717
Sharif University of Technology,Iran,IR,https://ror.org/024c2fq17,1710
Instituto de Física Corpuscular,Spain,ES,https://ror.org/017xch102,1692
