flow,citing_loc_label,cited_loc_label,weight
Incoming,EDUCATION,POLITICAL SCIENCE,45841
Incoming,SCIENCE,SOCIAL SCIENCES,45692
Incoming,TECHNOLOGY,GEOGRAPHY. ANTHROPOLOGY. RECREATION,45383
Outgoing,MEDICINE,SOCIAL SCIENCES,45294
Outgoing,GEOGRAPHY. ANTHROPOLOGY. RECREATION,PHILOSOPHY. PSYCHOLOGY. RELIGION,44893
Incoming,GEOGRAPHY. ANTHROPOLOGY. RECREATION,TECHNOLOGY,43848
Incoming,Multidisciplinary,SCIENCE,43721
Outgoing,SOCIAL SCIENCES,PHILOSOPHY. PSYCHOLOGY. RELIGION,43517
Outgoing,SCIENCE,EDUCATION,43450
Outgoing,SCIENCE,POLITICAL SCIENCE,43113
Outgoing,EDUCATION,MEDICINE,43041
Outgoing,GEOGRAPHY. ANTHROPOLOGY. RECREATION,TECHNOLOGY,43018
Incoming,EDUCATION,SCIENCE,42934
Incoming,POLITICAL SCIENCE,SCIENCE,42593
Outgoing,POLITICAL SCIENCE,MEDICINE,42450
Outgoing,MEDICINE,Others,40301
Outgoing,PHILOSOPHY. PSYCHOLOGY. RELIGION,SOCIAL SCIENCES,40147
Outgoing,MEDICINE,EDUCATION,39741
Outgoing,MEDICINE,POLITICAL SCIENCE,39411
Incoming,AGRICULTURE,GEOGRAPHY. ANTHROPOLOGY. RECREATION,39209
Outgoing,PHILOSOPHY. PSYCHOLOGY. RELIGION,GEOGRAPHY. ANTHROPOLOGY. RECREATION,39176
Internal,TECHNOLOGY,SCIENCE,39064
Outgoing,EDUCATION,PHILOSOPHY. PSYCHOLOGY. RELIGION,38898
Outgoing,POLITICAL SCIENCE,PHILOSOPHY. PSYCHOLOGY. RELIGION,38891
Internal,SCIENCE,TECHNOLOGY,38152
Incoming,PHILOSOPHY. PSYCHOLOGY. RELIGION,PHILOSOPHY. PSYCHOLOGY. RELIGION,37800
Incoming,SCIENCE,EDUCATION,37728
Incoming,SCIENCE,POLITICAL SCIENCE,37393
Incoming,MEDICINE,SOCIAL SCIENCES,37319
Outgoing,Multidisciplinary,MEDICINE,37248
Outgoing,PHILOSOPHY. PSYCHOLOGY. RELIGION,EDUCATION,36080
Outgoing,PHILOSOPHY. PSYCHOLOGY. RELIGION,POLITICAL SCIENCE,36015
Outgoing,SCIENCE,PHILOSOPHY. PSYCHOLOGY. RELIGION,34671
Incoming,MEDICINE,EDUCATION,32738
Incoming,MEDICINE,POLITICAL SCIENCE,32461
Incoming,Others,MEDICINE,32197
Outgoing,PHILOSOPHY. PSYCHOLOGY. RELIGION,SCIENCE,30974
Incoming,MEDICINE,Others,30668
Internal,TECHNOLOGY,TECHNOLOGY,30494
Outgoing,Others,MEDICINE,28401
Outgoing,SCIENCE,Others,28329
Incoming,SCIENCE,PHILOSOPHY. PSYCHOLOGY. RELIGION,28218
Incoming,GEOGRAPHY. ANTHROPOLOGY. RECREATION,PHILOSOPHY. PSYCHOLOGY. RELIGION,27046
Incoming,PHILOSOPHY. PSYCHOLOGY. RELIGION,SCIENCE,26610
Outgoing,Others,Others,26556
Incoming,TECHNOLOGY,AGRICULTURE,25706
Outgoing,TECHNOLOGY,AGRICULTURE,25307
Incoming,SOCIAL SCIENCES,PHILOSOPHY. PSYCHOLOGY. RELIGION,24425
Internal,AGRICULTURE,SCIENCE,23682
Incoming,EDUCATION,PHILOSOPHY. PSYCHOLOGY. RELIGION,22681
Outgoing,AGRICULTURE,TECHNOLOGY,22651
Incoming,POLITICAL SCIENCE,PHILOSOPHY. PSYCHOLOGY. RELIGION,22584
Outgoing,Others,SCIENCE,22566
Outgoing,PHILOSOPHY. PSYCHOLOGY. RELIGION,LANGUAGE AND LITERATURE,22517
Internal,SCIENCE,AGRICULTURE,22190
Incoming,Others,SCIENCE,21913
Outgoing,GEOGRAPHY. ANTHROPOLOGY. RECREATION,LANGUAGE AND LITERATURE,21472
Outgoing,SOCIAL SCIENCES,AGRICULTURE,21312
Outgoing,SOCIAL SCIENCES,LANGUAGE AND LITERATURE,21222
Outgoing,LANGUAGE AND LITERATURE,PHILOSOPHY. PSYCHOLOGY. RELIGION,21210
Outgoing,TECHNOLOGY,SOCIAL SCIENCES,20719
Outgoing,MEDICINE,LANGUAGE AND LITERATURE,20267
Outgoing,SOCIAL SCIENCES,TECHNOLOGY,20066
Incoming,SCIENCE,Others,19889
Outgoing,SCIENCE,LANGUAGE AND LITERATURE,19877
Incoming,TECHNOLOGY,SOCIAL SCIENCES,19864
Outgoing,AGRICULTURE,Multidisciplinary,19400
Outgoing,LANGUAGE AND LITERATURE,SOCIAL SCIENCES,19391
Outgoing,LANGUAGE AND LITERATURE,GEOGRAPHY. ANTHROPOLOGY. RECREATION,19355
Incoming,Others,Others,19166
Outgoing,POLITICAL SCIENCE,LANGUAGE AND LITERATURE,18865
Outgoing,EDUCATION,LANGUAGE AND LITERATURE,18846
Incoming,SOCIAL SCIENCES,TECHNOLOGY,18810
Incoming,AGRICULTURE,TECHNOLOGY,18747
Incoming,SCIENCE,LANGUAGE AND LITERATURE,18701
Outgoing,LANGUAGE AND LITERATURE,SCIENCE,18219
Incoming,PHILOSOPHY. PSYCHOLOGY. RELIGION,SOCIAL SCIENCES,17707
Incoming,PHILOSOPHY. PSYCHOLOGY. RELIGION,GEOGRAPHY. ANTHROPOLOGY. RECREATION,17596
Outgoing,LANGUAGE AND LITERATURE,EDUCATION,17436
Outgoing,LANGUAGE AND LITERATURE,POLITICAL SCIENCE,17416
Outgoing,EDUCATION,AGRICULTURE,17004
Outgoing,AGRICULTURE,SOCIAL SCIENCES,17003
Outgoing,POLITICAL SCIENCE,AGRICULTURE,16985
Incoming,AGRICULTURE,Multidisciplinary,16878
Incoming,TECHNOLOGY,EDUCATION,16868
Outgoing,Others,SOCIAL SCIENCES,16843
Incoming,TECHNOLOGY,POLITICAL SCIENCE,16835
Outgoing,TECHNOLOGY,EDUCATION,16510
Outgoing,EDUCATION,TECHNOLOGY,16509
Outgoing,POLITICAL SCIENCE,TECHNOLOGY,16443
Outgoing,TECHNOLOGY,POLITICAL SCIENCE,16419
Incoming,LANGUAGE AND LITERATURE,SCIENCE,16395
Internal,AGRICULTURE,AGRICULTURE,16393
Outgoing,TECHNOLOGY,Others,16347
Incoming,EDUCATION,TECHNOLOGY,15804
Outgoing,TECHNOLOGY,Multidisciplinary,15757
Incoming,TECHNOLOGY,Others,15727
Incoming,POLITICAL SCIENCE,TECHNOLOGY,15658
Incoming,PHILOSOPHY. PSYCHOLOGY. RELIGION,EDUCATION,15629
Incoming,PHILOSOPHY. PSYCHOLOGY. RELIGION,POLITICAL SCIENCE,15608
Internal,GEOGRAPHY. ANTHROPOLOGY. RECREATION,SCIENCE,15541
Incoming,GEOGRAPHY. ANTHROPOLOGY. RECREATION,Multidisciplinary,15259
Outgoing,LANGUAGE AND LITERATURE,MEDICINE,15093
Incoming,Others,TECHNOLOGY,14956
Incoming,GEOGRAPHY. ANTHROPOLOGY. RECREATION,LANGUAGE AND LITERATURE,14857
Internal,SCIENCE,GEOGRAPHY. ANTHROPOLOGY. RECREATION,14704
Outgoing,GEOGRAPHY. ANTHROPOLOGY. RECREATION,Multidisciplinary,14694
Incoming,LANGUAGE AND LITERATURE,MEDICINE,14496
Outgoing,LANGUAGE AND LITERATURE,LANGUAGE AND LITERATURE,14416
Incoming,LANGUAGE AND LITERATURE,PHILOSOPHY. PSYCHOLOGY. RELIGION,14041
Outgoing,AGRICULTURE,EDUCATION,13971
Outgoing,AGRICULTURE,POLITICAL SCIENCE,13933
Outgoing,SOCIAL SCIENCES,Others,13693
Incoming,PHILOSOPHY. PSYCHOLOGY. RELIGION,LANGUAGE AND LITERATURE,13546
Internal,GEOGRAPHY. ANTHROPOLOGY. RECREATION,GEOGRAPHY. ANTHROPOLOGY. RECREATION,13443
Incoming,SOCIAL SCIENCES,AGRICULTURE,13321
Outgoing,Multidisciplinary,AGRICULTURE,13086
Outgoing,Others,TECHNOLOGY,12702
Incoming,SOCIAL SCIENCES,LANGUAGE AND LITERATURE,12639
Incoming,TECHNOLOGY,Multidisciplinary,12585
Outgoing,GEOGRAPHY. ANTHROPOLOGY. RECREATION,Others,12386
Outgoing,Others,GEOGRAPHY. ANTHROPOLOGY. RECREATION,12295
Incoming,EDUCATION,AGRICULTURE,11929
Incoming,POLITICAL SCIENCE,AGRICULTURE,11893
Incoming,EDUCATION,LANGUAGE AND LITERATURE,11815
Incoming,POLITICAL SCIENCE,LANGUAGE AND LITERATURE,11794
Outgoing,Multidisciplinary,Multidisciplinary,11247
Incoming,MEDICINE,LANGUAGE AND LITERATURE,10935
Incoming,LANGUAGE AND LITERATURE,LANGUAGE AND LITERATURE,10657
Incoming,SOCIAL SCIENCES,Others,10507
Incoming,AGRICULTURE,SOCIAL SCIENCES,10334
Outgoing,Others,POLITICAL SCIENCE,10022
Outgoing,Others,EDUCATION,9997
Incoming,Multidisciplinary,Multidisciplinary,9969
Incoming,Others,SOCIAL SCIENCES,9924
Incoming,GEOGRAPHY. ANTHROPOLOGY. RECREATION,Others,9870
Internal,TECHNOLOGY,MEDICINE,9780
Outgoing,Multidisciplinary,GEOGRAPHY. ANTHROPOLOGY. RECREATION,9668
