flow,citing_loc_label,cited_loc_label,weight
Incoming,AGRICULTURE,GEOGRAPHY. ANTHROPOLOGY. RECREATION,2414
Incoming,MEDICINE,SOCIAL SCIENCES,2341
Outgoing,SCIENCE,LANGUAGE AND LITERATURE,2275
Incoming,SCIENCE,EDUCATION,2228
Outgoing,Others,MEDICINE,2228
Incoming,SCIENCE,POLITICAL SCIENCE,2182
Incoming,POLITICAL SCIENCE,SOCIAL SCIENCES,2150
Incoming,EDUCATION,SOCIAL SCIENCES,2146
Incoming,POLITICAL SCIENCE,GEOGRAPHY. ANTHROPOLOGY. RECREATION,2075
Incoming,EDUCATION,GEOGRAPHY. ANTHROPOLOGY. RECREATION,2073
Incoming,SOCIAL SCIENCES,POLITICAL SCIENCE,2053
Incoming,SOCIAL SCIENCES,EDUCATION,2049
Outgoing,PHILOSOPHY. PSYCHOLOGY. RELIGION,SCIENCE,1994
Incoming,GEOGRAPHY. ANTHROPOLOGY. RECREATION,EDUCATION,1985
Incoming,GEOGRAPHY. ANTHROPOLOGY. RECREATION,POLITICAL SCIENCE,1985
Outgoing,TECHNOLOGY,GEOGRAPHY. ANTHROPOLOGY. RECREATION,1976
Incoming,MEDICINE,EDUCATION,1908
Incoming,MEDICINE,POLITICAL SCIENCE,1896
Outgoing,PHILOSOPHY. PSYCHOLOGY. RELIGION,SOCIAL SCIENCES,1871
Outgoing,PHILOSOPHY. PSYCHOLOGY. RELIGION,LANGUAGE AND LITERATURE,1834
Incoming,MEDICINE,PHILOSOPHY. PSYCHOLOGY. RELIGION,1825
Outgoing,LANGUAGE AND LITERATURE,PHILOSOPHY. PSYCHOLOGY. RELIGION,1822
Incoming,Others,SCIENCE,1776
Incoming,GEOGRAPHY. ANTHROPOLOGY. RECREATION,TECHNOLOGY,1769
Outgoing,TECHNOLOGY,AGRICULTURE,1755
Incoming,POLITICAL SCIENCE,POLITICAL SCIENCE,1725
Incoming,POLITICAL SCIENCE,EDUCATION,1724
Incoming,PHILOSOPHY. PSYCHOLOGY. RELIGION,SCIENCE,1723
Incoming,EDUCATION,POLITICAL SCIENCE,1722
Incoming,EDUCATION,EDUCATION,1721
Outgoing,LANGUAGE AND LITERATURE,LANGUAGE AND LITERATURE,1677
Incoming,TECHNOLOGY,GEOGRAPHY. ANTHROPOLOGY. RECREATION,1654
Outgoing,MEDICINE,LANGUAGE AND LITERATURE,1654
Outgoing,GEOGRAPHY. ANTHROPOLOGY. RECREATION,TECHNOLOGY,1646
Outgoing,PHILOSOPHY. PSYCHOLOGY. RELIGION,GEOGRAPHY. ANTHROPOLOGY. RECREATION,1625
Outgoing,SOCIAL SCIENCES,PHILOSOPHY. PSYCHOLOGY. RELIGION,1600
Outgoing,Others,SCIENCE,1523
Outgoing,PHILOSOPHY. PSYCHOLOGY. RELIGION,EDUCATION,1517
Outgoing,PHILOSOPHY. PSYCHOLOGY. RELIGION,POLITICAL SCIENCE,1516
Outgoing,GEOGRAPHY. ANTHROPOLOGY. RECREATION,PHILOSOPHY. PSYCHOLOGY. RELIGION,1496
Incoming,SCIENCE,Others,1495
Outgoing,TECHNOLOGY,Multidisciplinary,1479
Outgoing,LANGUAGE AND LITERATURE,SCIENCE,1372
Outgoing,POLITICAL SCIENCE,PHILOSOPHY. PSYCHOLOGY. RELIGION,1315
Outgoing,LANGUAGE AND LITERATURE,MEDICINE,1306
Outgoing,AGRICULTURE,Multidisciplinary,1296
Outgoing,LANGUAGE AND LITERATURE,SOCIAL SCIENCES,1292
Incoming,Multidisciplinary,Multidisciplinary,1269
Incoming,AGRICULTURE,Multidisciplinary,1248
Outgoing,EDUCATION,PHILOSOPHY. PSYCHOLOGY. RELIGION,1244
Incoming,TECHNOLOGY,AGRICULTURE,1229
Incoming,LANGUAGE AND LITERATURE,MEDICINE,1229
Outgoing,Multidisciplinary,Multidisciplinary,1223
Outgoing,Others,Others,1160
