flow,citing_loc_label,cited_loc_label,weight
Incoming,POLITICAL SCIENCE,GEOGRAPHY. ANTHROPOLOGY. RECREATION,26031
Outgoing,SOCIAL SCIENCES,PHILOSOPHY. PSYCHOLOGY. RELIGION,26025
Incoming,EDUCATION,SOCIAL SCIENCES,24840
Incoming,POLITICAL SCIENCE,SOCIAL SCIENCES,24837
Outgoing,Others,MEDICINE,24722
Outgoing,SCIENCE,EDUCATION,24126
Outgoing,PHILOSOPHY. PSYCHOLOGY. RELIGION,SOCIAL SCIENCES,23928
Outgoing,SCIENCE,POLITICAL SCIENCE,23923
Outgoing,PHILOSOPHY. PSYCHOLOGY. RELIGION,GEOGRAPHY. ANTHROPOLOGY. RECREATION,23852
Incoming,SOCIAL SCIENCES,SCIENCE,23660
Outgoing,EDUCATION,PHILOSOPHY. PSYCHOLOGY. RELIGION,23412
Outgoing,POLITICAL SCIENCE,PHILOSOPHY. PSYCHOLOGY. RELIGION,23369
Incoming,SOCIAL SCIENCES,EDUCATION,23023
Incoming,SOCIAL SCIENCES,POLITICAL SCIENCE,22999
Incoming,PHILOSOPHY. PSYCHOLOGY. RELIGION,PHILOSOPHY. PSYCHOLOGY. RELIGION,22858
Outgoing,TECHNOLOGY,GEOGRAPHY. ANTHROPOLOGY. RECREATION,22716
Incoming,MEDICINE,SOCIAL SCIENCES,21884
Outgoing,SCIENCE,PHILOSOPHY. PSYCHOLOGY. RELIGION,21711
Outgoing,PHILOSOPHY. PSYCHOLOGY. RELIGION,EDUCATION,21448
Outgoing,PHILOSOPHY. PSYCHOLOGY. RELIGION,POLITICAL SCIENCE,21421
Incoming,SCIENCE,SOCIAL SCIENCES,21293
Incoming,GEOGRAPHY. ANTHROPOLOGY. RECREATION,TECHNOLOGY,21192
Outgoing,GEOGRAPHY. ANTHROPOLOGY. RECREATION,TECHNOLOGY,21090
Incoming,EDUCATION,SCIENCE,20777
Incoming,POLITICAL SCIENCE,SCIENCE,20629
Incoming,EDUCATION,EDUCATION,20420
Incoming,EDUCATION,POLITICAL SCIENCE,20389
Incoming,POLITICAL SCIENCE,EDUCATION,20388
Outgoing,SCIENCE,Others,20368
Incoming,POLITICAL SCIENCE,POLITICAL SCIENCE,20365
Incoming,MEDICINE,EDUCATION,19828
Incoming,MEDICINE,POLITICAL SCIENCE,19746
Incoming,TECHNOLOGY,GEOGRAPHY. ANTHROPOLOGY. RECREATION,19188
Outgoing,PHILOSOPHY. PSYCHOLOGY. RELIGION,SCIENCE,18949
Incoming,SCIENCE,EDUCATION,18375
Outgoing,Others,Others,18364
Incoming,SCIENCE,POLITICAL SCIENCE,18249
Internal,TECHNOLOGY,SCIENCE,17773
Internal,AGRICULTURE,SCIENCE,17570
Outgoing,Others,SCIENCE,17335
Internal,SCIENCE,AGRICULTURE,17073
Incoming,Others,SCIENCE,16458
Incoming,SCIENCE,Others,16145
Incoming,AGRICULTURE,Multidisciplinary,16103
Internal,SCIENCE,TECHNOLOGY,15609
Outgoing,AGRICULTURE,Multidisciplinary,15444
Outgoing,PHILOSOPHY. PSYCHOLOGY. RELIGION,LANGUAGE AND LITERATURE,14724
Outgoing,TECHNOLOGY,AGRICULTURE,14624
Outgoing,MEDICINE,LANGUAGE AND LITERATURE,14610
Outgoing,LANGUAGE AND LITERATURE,PHILOSOPHY. PSYCHOLOGY. RELIGION,13739
Internal,AGRICULTURE,AGRICULTURE,13499
