Broad;Narrow;
41_Environmental_Sciences;4103_Environmental_Biotechnology;
41_Environmental_Sciences;4104_Environmental_Management;
41_Environmental_Sciences;4105_Pollution_and_Contamination;
41_Environmental_Sciences;4106_Soil_Sciences;
41_Environmental_Sciences;4199_Other_environmental_sciences;
42_Health_Sciences;4201_Allied_Health_and_Rehabilitation_Science;
42_Health_Sciences;4202_Epidemiology;
42_Health_Sciences;4203_Health_Services_and_Systems;
42_Health_Sciences;4204_Midwifery;
42_Health_Sciences;4205_Nursing;
42_Health_Sciences;4206_Public_Health;
42_Health_Sciences;4207_Sports_Science_and_Exercise;
42_Health_Sciences;4208_Traditional,_Complementary_and_Integrative_Medicine;
42_Health_Sciences;4299_Other_health_sciences;
43_History,_Heritage_and_Archaeology;4301_Archaeology;
43_History,_Heritage_and_Archaeology;4302_Heritage,_Archive_and_Museum_Studies;
43_History,_Heritage_and_Archaeology;4303_Historical_Studies;
43_History,_Heritage_and_Archaeology;4303_Other_history,_heritage_and_archaeology;
44_Human_Society;4401_Anthropology;
44_Human_Society;4402_Criminology;
44_Human_Society;4403_Demography;
44_Human_Society;4404_Development_Studies;
44_Human_Society;4405_Gender_Studies;
44_Human_Society;4406_Human_Geography;
44_Human_Society;4407_Policy_and_Administration;
44_Human_Society;4408_Political_Science;
44_Human_Society;4409_Social_Work;
44_Human_Society;4410_Sociology;
44_Human_Society;4499_Other_human_society;
45_Indigenous_studies;4501_Aboriginal_and_Torres_Strait_Islander_culture,_language_and_history;
45_Indigenous_studies;4502_Aboriginal_and_Torres_Strait_Islander_education;
45_Indigenous_studies;4503_Aboriginal_and_Torres_Strait_Islander_environmental_knowledges_and_management;
45_Indigenous_studies;4504_Aboriginal_and_Torres_Strait_Islander_health_and_wellbeing;
45_Indigenous_studies;4505_Aboriginal_and_Torres_Strait_Islander_peoples,_society_and_community;
45_Indigenous_studies;4506_Aboriginal_and_Torres_Strait_Islander_sciences;
45_Indigenous_studies;4507_Te_ahurea,_reo_me_te_hītori_o_te_Māori_(Māori_culture,_language_and_history);
45_Indigenous_studies;4508_Mātauranga_Māori_(Māori_education);
45_Indigenous_studies;4509_Ngā_mātauranga_taiao_o_te_Māori_(Māori_environmental_knowledges);
45_Indigenous_studies;4510_Te_hauora_me_te_oranga_o_te_Māori_(Māori_health_and_wellbeing);
45_Indigenous_studies;4511_Ngā_tāngata,_te_porihanga_me_ngā_hapori_o_te_Māori_(Māori_peoples,_society_and_community);
45_Indigenous_studies;4512_Ngā_pūtaiao_Māori_(Māori_sciences);
45_Indigenous_studies;4513_Pacific_Peoples_culture,_language_and_history;
45_Indigenous_studies;4514_Pacific_Peoples_education;
45_Indigenous_studies;4515_Pacific_Peoples_environmental_knowledges;
45_Indigenous_studies;4516_Pacific_Peoples_health_and_wellbeing;
45_Indigenous_studies;4517_Pacific_Peoples_sciences;
45_Indigenous_studies;4518_Pacific_Peoples_society_and_community;
45_Indigenous_studies;4519_Other_Indigenous_data,_methodologies_and_global_Indigenous_studies;
45_Indigenous_studies;4599_Other_Indigenous_studies;
46_Information_and_Computing_Sciences;4601_Applied_Computing;
46_Information_and_Computing_Sciences;4602_Artificial_Intelligence;
46_Information_and_Computing_Sciences;4603_Computer_Vision_and_Multimedia_Computation;
46_Information_and_Computing_Sciences;4604_Cybersecurity_and_Privacy;
46_Information_and_Computing_Sciences;4605_Data_Management_and_Data_Science;
46_Information_and_Computing_Sciences;4606_Distributed_Computing_and_Systems_Software;
46_Information_and_Computing_Sciences;4607_Graphics,_Augmented_Reality_and_Games;
46_Information_and_Computing_Sciences;4608_Human-Centred_Computing;
46_Information_and_Computing_Sciences;4609_Information_Systems;
46_Information_and_Computing_Sciences;4610_Library_and_Information_Studies;
46_Information_and_Computing_Sciences;4611_Machine_Learning;
46_Information_and_Computing_Sciences;4612_Software_Engineering;
46_Information_and_Computing_Sciences;4613_Theory_Of_Computation;
46_Information_and_Computing_Sciences;4699_Other_information_and_computing_sciences;
47_Language,_Communication_and_Culture;4701_Communication_and_Media_Studies;
47_Language,_Communication_and_Culture;4702_Cultural_Studies;
